;UUID;Protokoll;URL
0;UUID;Protokoll;URL
0;b814401b-9eb2-4e6c-b4a9-f24df7b8bba6;WWW:LINK;http://www.nagra.ch/de/cat/publikationen/technischeberichte-ntbs/downloadcenter.htm
1;b814401b-9eb2-4e6c-b4a9-f24df7b8bba6;CHTOPO:specialised-geoportal;http://map.geologieportal.ch
0;2ffdbb13-27dc-4380-8349-8debfeca4fd9;WWW:LINK;http://www.nagra.ch/de/cat/publikationen/technischeberichte-ntbs/downloadcenter.htm
1;2ffdbb13-27dc-4380-8349-8debfeca4fd9;CHTOPO:specialised-geoportal;http://map.geologieportal.ch
0;4cc706a2-0005-4cc6-8326-7b944a1d5b05;WWW:LINK;http://www.sgpk.ethz.ch/opencms/opencms/publications/pub_geoph_maps/
1;4cc706a2-0005-4cc6-8326-7b944a1d5b05;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.swisstopo.geologie-geophysik-aeromagnetische_karte_schweiz
2;4cc706a2-0005-4cc6-8326-7b944a1d5b05;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;4cc706a2-0005-4cc6-8326-7b944a1d5b05;CHTOPO:specialised-geoportal;-
4;4cc706a2-0005-4cc6-8326-7b944a1d5b05;WWW:LINK;http://www.sgpk.ethz.ch/
5;4cc706a2-0005-4cc6-8326-7b944a1d5b05;WWW:LINK;https://www.geologieportal.ch/de/themen/grundlagen-der-geologie/geophysik.html
0;f952b9be-9a11-478c-a21c-9d5e8631c7c2;WWW:LINK;http://www.sgpk.ethz.ch/opencms/opencms/publications/pub_geoph_maps/
1;f952b9be-9a11-478c-a21c-9d5e8631c7c2;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.swisstopo.geologie-geophysik-aeromagnetische_karte_jura
2;f952b9be-9a11-478c-a21c-9d5e8631c7c2;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;f952b9be-9a11-478c-a21c-9d5e8631c7c2;CHTOPO:specialised-geoportal;-
4;f952b9be-9a11-478c-a21c-9d5e8631c7c2;WWW:LINK;http://www.sgpk.ethz.ch/
5;f952b9be-9a11-478c-a21c-9d5e8631c7c2;WWW:LINK;https://www.geologieportal.ch/de/themen/grundlagen-der-geologie/geophysik.html
0;ea67adf4-0f51-4f9a-ae5d-35d950f35d76;WWW:LINK;https://www.bafu.admin.ch/bafu/de/home/themen/biodiversitaet/publikationen-studien/publikationen/aeschenpopulationen-nationale-bedeutung.html
