;number;layer;TECHPUBLAYERNAME;uuid
0;1;ch.are.agglomerationsverkehr (Städte und Agglomerationen BeSA);ch.are.agglomerationsverkehr;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb
1;2;ch.are.alpenkonvention (Alpenkonvention);ch.are.alpenkonvention;8698bf0b-fceb-4f0f-989b-111e7c4af0a4
2;3;ch.are.bauzonen (Bauzonen Schweiz (harmonisiert));ch.are.bauzonen;055192b1-c378-4e66-8d43-c926f0be7980
3;4;ch.are.belastung-personenverkehr-bahn (Personenverkehr Schiene);ch.are.belastung-personenverkehr-bahn;6fa32c65-988d-4e09-8034-6c5abcbd4e3f
4;5;ch.are.belastung-personenverkehr-strasse (Personen-/Güterverkehr Strasse);ch.are.belastung-personenverkehr-strasse;4540e0db-04c7-4509-b809-11542e7acba9
5;6;ch.are.erreichbarkeit-miv (Erreichbarkeit auf der Strasse);ch.are.erreichbarkeit-miv;f0835478-07fc-4e12-bf48-51646a59c809
6;7;ch.are.erreichbarkeit-oev (Erreichbarkeit mit dem ÖV);ch.are.erreichbarkeit-oev;e3437f64-68e1-4b07-ae35-22597ca89cc2
7;8;ch.are.gemeindetypen (Gemeindetypologie ARE);ch.are.gemeindetypen;c967f055-9482-4bcb-a1bb-8de7971e7293
8;9;ch.are.gueteklassen_oev (ÖV-Güteklassen ARE);ch.are.gueteklassen_oev;61a79435-b986-495e-b3ea-fe97c4abd558
9;10;ch.are.landschaftstypen (Landschaftstypologie Schweiz);ch.are.landschaftstypen;27a33007-d187-41d9-97b7-6dc733a06e9b
10;11;ch.are.reisezeit-agglomerationen-miv (Reisezeit zu Agglos Strasse);ch.are.reisezeit-agglomerationen-miv;d23ebfb6-00a4-44d6-8463-4d34d57a5ff4
11;12;ch.are.reisezeit-agglomerationen-oev (Reisezeit zu Agglos ÖV);ch.are.reisezeit-agglomerationen-oev;333489d5-6ea1-468d-b1d5-bd213d9f1d0b
