;TECHPUBLAYERNAME;uuid
179;ch.bakom.anbieter-eigenes_festnetz;b9b367de-baf0-47d9-b642-bd0f7f29c842
180;ch.bakom.mobil-antennenstandorte-5g;43814de7-42b6-4f33-a4d5-cdca8ca0d6cd
181;ch.bakom.mobil-antennenstandorte-gsm;1d7e059a-3d60-4876-905c-722cb469ac1d
182;ch.bakom.mobil-antennenstandorte-lte;4399b61b-23d9-49a8-ba8b-dd2452adbc7c
183;ch.bakom.mobil-antennenstandorte-umts;312ddf6a-52b1-4bd9-9610-f0e3707dedff
184;ch.bakom.notruf;7f3287d8-6ae7-491c-b8e1-1d9f81b194b4
185;ch.bakom.notruf-112_festnetz;415a014c-b3f6-40bd-8b38-c955e9e214e6
186;ch.bakom.notruf-112_mobilnetz;261dd9f1-3387-4bd9-b093-21cc7bf23970
187;ch.bakom.notruf-112_satellit;29139f7c-2b57-43de-b308-38666acfa0b9
188;ch.bakom.notruf-112_zentral;cb6d8528-ef3d-4412-8962-03f5ce6bfad3
189;ch.bakom.notruf-117_festnetz;33185a17-c810-41e0-aacd-3f3d44e410bd
190;ch.bakom.notruf-117_mobilnetz;b8bc1b3f-ea78-4254-b093-91d97894623d
191;ch.bakom.notruf-117_zentral;5ee5430f-1bd8-4027-a3fa-9df0d716da61
192;ch.bakom.notruf-118_festnetz;48964dfd-eaaa-4443-a281-6a91d6692073
193;ch.bakom.notruf-118_mobilnetz;c7baa23e-f09f-4940-a100-ab5321d67461
194;ch.bakom.notruf-118_zentral;cfad6c18-ac21-44d2-9eec-efb7f62a9be8
195;ch.bakom.notruf-143_festnetz;1a30baed-509c-4fe2-b7a7-1bcd885e7827
196;ch.bakom.notruf-143_mobilnetz;c2c6114c-707d-424d-a860-ffe4e22330c6
197;ch.bakom.notruf-143_zentral;5b41971f-599c-415e-9445-75b59f22a0bf
198;ch.bakom.notruf-144_festnetz;8eff7061-f805-4d8c-a37e-574f41e68869
199;ch.bakom.notruf-144_mobilnetz;261f29ed-3043-4668-998e-a76c63b8e3e2
200;ch.bakom.notruf-144_zentral;e8914fd0-4b48-4446-af8e-1afeea435060
201;ch.bakom.notruf-145_festnetz;d500e71f-68b0-4275-b73a-c35e254752f0
202;ch.bakom.notruf-145_mobilnetz;4ab16b53-65f3-4427-a667-8cce75f71fd0
203;ch.bakom.notruf-145_zentral;8aa977ba-61e7-4239-8b20-6e6880341fde
204;ch.bakom.notruf-147_festnetz;30bb29fc-55ec-4c10-a504-dc650c135b09
205;ch.bakom.notruf-147_mobilnetz;c883aaf2-3707-433f-a0d9-32f245f44eb9
206;ch.bakom.notruf-147_zentral;00347ff2-fc9d-4171-bc6d-5fe49658e80b
207;ch.bakom.radio-fernsehsender;b92fae28-d12b-4278-8535-1929807341cd
208;ch.bakom.versorgungsgebiet-tv;f57f174b-15ab-4428-b41f-916f33ea4cbb
209;ch.bakom.versorgungsgebiet-ukw;60a2fcd0-3a04-4fea-9bae-c3e0f9b31604
