;TECHPUBLAYERNAME;uuid
283;ch.bfs.arealstatistik;8ac687ee-ad27-4ac7-8c1c-b64abee9e3b3
284;ch.bfs.arealstatistik-1985;0dff304b-d90c-4f9c-bd9d-f3c315a128c2
285;ch.bfs.arealstatistik-1997;260bbbe0-0c10-4a31-b566-cd0d6f143a09
286;ch.bfs.arealstatistik-bodenbedeckung;b53c03bb-a168-491f-b266-c7e9ec0af320
287;ch.bfs.arealstatistik-bodenbedeckung-1985;1c6bc7a0-b243-49f0-9078-6576b37716b7
288;ch.bfs.arealstatistik-bodenbedeckung-1997;af74a95b-7295-47b8-8cfe-795e9a09a086
289;ch.bfs.arealstatistik-bodennutzung;5082c28a-33cc-47d6-a577-a6118238def5
290;ch.bfs.arealstatistik-bodennutzung-1985;f954beeb-7f1e-44a4-b975-19ea9b8c369f
291;ch.bfs.arealstatistik-bodennutzung-1997;5257c12e-bb39-4983-a98a-8103cb3f1611
292;ch.bfs.betriebszaehlungen-arbeitsstaetten;ecc82a85-9ecb-4f14-873d-bd07d8468bad
293;ch.bfs.betriebszaehlungen-beschaeftigte_vollzeitaequivalente;1a764cdd-9d11-4cfe-b440-66d7caef7fa4
294;ch.bfs.gebaeude_wohnungs_register;56553efe-4a2c-449d-93ba-cf7edd518d56
295;ch.bfs.generalisierte-grenzen_agglomerationen_g1;68924d22-bc42-425e-bbcc-a2f75c5c796c
296;ch.bfs.generalisierte-grenzen_agglomerationen_g2;4aa954c6-2d71-4d96-ab85-cb5fb128be8e
297;ch.bfs.landschaftswandel;826921fb-2bf7-44af-a71a-af56bda3dd6d
298;ch.bfs.volkszaehlung-bevoelkerungsstatistik_einwohner;4bfbbf20-d90e-4131-8fe2-4c454ad45c16
299;ch.bfs.volkszaehlung-gebaeudestatistik_gebaeude;ac730d03-1840-4f64-bc89-9f06d2491e25
300;ch.bfs.volkszaehlung-gebaeudestatistik_wohnungen;987a55d8-fcc5-497a-b553-da1f1517e5c4
