;TECHPUBLAYERNAME;uuid
301;ch.blw.bodeneignung-gruendigkeit;a1c56c8d-05c9-425f-9aed-71e265081634
302;ch.blw.bodeneignung-kulturland;843de9c9-6feb-4577-ab3b-e4fb62a9c56a
303;ch.blw.bodeneignung-kulturtyp;4d7ea1c8-451b-46b6-8e16-ffee10e0c9a7
304;ch.blw.bodeneignung-naehrstoffspeichervermoegen;05216096-7514-4084-a361-49a2cee1f44c
305;ch.blw.bodeneignung-skelettgehalt;b07f2385-ee3d-4dae-aac2-3fce678ead33
306;ch.blw.bodeneignung-vernaessung;ace71da1-bfd1-4745-a2f1-40b4567f4907
307;ch.blw.bodeneignung-wasserdurchlaessigkeit;d5bd22a3-0656-4582-97bc-37f77b5426ca
308;ch.blw.bodeneignung-wasserspeichervermoegen;6caf4d0f-52da-433a-809f-92781316ad0e
309;ch.blw.klimaeignung-futterbau;4f01b7dd-a576-45ee-9158-82789334c577
310;ch.blw.klimaeignung-getreidebau;04aa6587-d884-4c20-87a3-ff537e6d2626
311;ch.blw.klimaeignung-kartoffeln;859f26d4-f820-4b1f-bad4-44e88bae59a6
312;ch.blw.klimaeignung-koernermais;aaa31b34-09da-4944-b43e-fb1b21cc6f96
313;ch.blw.klimaeignung-kulturland;8148d26b-7aae-48b1-8c02-a391c33f59a7
314;ch.blw.klimaeignung-spezialkulturen;fe7c18e2-87d3-464f-a22e-7cc03e61d480
315;ch.blw.klimaeignung-typ;f743a51c-7487-46a5-af16-5bf031edc417
316;ch.blw.klimaeignung-zwischenfruchtbau;17b0f989-a79e-4837-b5a2-cf38c23a662c
317;ch.blw.niederschlagshaushalt;0335f9f0-b0b1-4925-9c9d-d530ed2dd1cf
318;ch.blw.ursprungsbezeichnungen-fleisch;d8a34a75-b1c3-4387-8b03-63dd150f529b
319;ch.blw.ursprungsbezeichnungen-kaese;2109a970-681d-4efb-9fd5-6f7da5ae0e14
320;ch.blw.ursprungsbezeichnungen-konditoreiwaren;0652c964-e9d5-4c4a-8efe-5043f48b457f
321;ch.blw.ursprungsbezeichnungen-pflanzen;199c9078-9da7-4a77-b811-b342adc2a116
322;ch.blw.ursprungsbezeichnungen-spirituosen;bc34236a-ffe9-40af-9eae-d2cf1e0e96e6
