;TECHPUBLAYERNAME;uuid
471;ch.vbs.armee-kriegsdenkmaeler;acc444ae-742f-4832-9dad-ec027f7b85b8
472;ch.vbs.armeelogistikcenter;ae538f59-74af-4ed4-999b-66cfb52c36de
473;ch.vbs.bundestankstellen-bebeco;7f8c99f2-7736-4fe6-8d69-0af201f01526
474;ch.vbs.kataster-belasteter-standorte-militaer;d56dc013-2659-4664-8829-7e097dfa4173
475;ch.vbs.logistikraeume-armeelogistikcenter;270a2032-d346-42c5-a657-9129186f1f08
476;ch.vbs.panzerverschiebungsrouten;b0478e7d-63df-4ff8-b90c-336a2b5176db
477;ch.vbs.patrouilledesglaciers-a_rennen;30c41be6-0f35-4caa-aeda-45f8705911fb
478;ch.vbs.patrouilledesglaciers-z_rennen;64d14c1a-25bb-4bf5-bad3-057823a334ef
479;ch.vbs.retablierungsstellen;e436f7aa-3d59-4f4e-8940-46d2b181a9b4
480;ch.vbs.sachplan-infrastruktur-militaer_anhoerung;4817187f-700e-4588-94d6-0873fd23febd
481;ch.vbs.sachplan-infrastruktur-militaer_kraft;5263bc47-8723-4c02-988a-4ae0d425099c
482;ch.vbs.schiessanzeigen;49b2cd7e-8513-4c8f-b3e6-ca8cd922b1cc
483;ch.vbs.territorialregionen;f1d7d608-74d7-46fc-a478-b4357409f34b
484;ch.vbs.waldschadenkarte;2ff2299e-55b5-4ec7-bb92-fbb06e7ee422
