;TECHPUBLAYERNAME;uuid
18;ch.astra.baulinien-nationalstrassen;fce3b347-cc58-4b29-bb87-a35eed4487ea
19;ch.astra.hauptstrassennetz;c1333de6-fb91-4b0b-be95-8eab89b05358
20;ch.astra.ivs-gelaendekarte;c99e4a84-b340-4c83-ad3f-f5bcb15a1bf1
21;ch.astra.ivs-nat;70b6e2ac-c7ea-4699-a22e-65792aa3b0b9
22;ch.astra.ivs-nat-verlaeufe;8c750eb5-d781-4b14-8dee-3d8943b04465
23;ch.astra.ivs-nat_abgrenzungen;aab3c0bf-bfa3-48e0-84d7-1a7b86e04509
24;ch.astra.ivs-nat_wegbegleiter;3cf031e4-eef0-4c14-8bed-d132393dd4bc
25;ch.astra.ivs-reg_loc;f59f9e16-1f67-47bf-ade0-fcce715ce6fe
26;ch.astra.mountainbikeland;d4f1ebde-f999-4c56-b4a5-7ec8720a4052
27;ch.astra.mountainbikeland-sperrungen_umleitungen;fa5f0dfb-162f-4b83-828c-7b880ad5e972
28;ch.astra.nationalstrassenachsen;cc9bb928-851d-4ecd-8dd8-ba6abcad19a4
29;ch.astra.sachplan-infrastruktur-strasse_kraft;13780ac3-7340-454b-b721-fc4dd490d0fc
30;ch.astra.schwerverunfallte-kanton_alkohol;38ec4641-d068-49a0-bdd1-b2b11b6e6d4d
31;ch.astra.schwerverunfallte-kanton_geschwindigkeit;3a3ef559-8bd1-4681-b544-5a53b14bbde2
32;ch.astra.schwerverunfallte-kanton_jahresvergleich;164f5ce7-4870-431b-9807-242dff20b844
33;ch.astra.schwerverunfallte-kanton_pro_einwohner;3244a0b1-9589-43bb-b808-359c4aa13953
34;ch.astra.skatingland;deeb1f0f-ea25-46f0-977a-6ae1031cc55b
35;ch.astra.skatingland-sperrungen_umleitungen;e943182a-0126-4cfa-a02d-090dbe89e88e
36;ch.astra.strassenverkehrszaehlung-uebergeordnet;4ae9023e-bba8-4807-ab5c-de97c7ee0af9
37;ch.astra.strassenverkehrszaehlung_messstellen-regional_lokal;46d802a1-ee53-4e3a-8af6-77b322e62bf1
38;ch.astra.strassenverkehrszaehlung_messstellen-uebergeordnet;56b6461f-1046-412c-9e70-06fb433f0dbf
39;ch.astra.unfaelle-personenschaeden_alle;a76e370a-eb4c-409b-bf10-5dbda021528e
40;ch.astra.unfaelle-personenschaeden_fahrraeder;b3f51682-cb44-46ce-b215-ac5b5f996286
41;ch.astra.unfaelle-personenschaeden_fussgaenger;578457c1-debb-41b9-8f2c-18d33148cfa5
42;ch.astra.unfaelle-personenschaeden_getoetete;7ef105ec-9192-4029-abb6-7112f0f4187b
43;ch.astra.unfaelle-personenschaeden_motorraeder;2e3c55c6-b8cf-4822-bdd4-2fd368697c93
44;ch.astra.veloland;16d16fa3-a416-4e8b-99fc-69c7267f134d
45;ch.astra.veloland-sperrungen_umleitungen;c1293eab-eeb0-45a5-b79f-0909129c7e5a
46;ch.astra.wanderland;95638869-ef86-4e95-ae60-20e84e8dca8c
47;ch.astra.wanderland-sperrungen_umleitungen;b440815a-07e5-48db-959d-cb2ca4458f3a
