;TECHPUBLAYERNAME;uuid
315;ch.bakom.anbieter-eigenes_festnetz;b9b367de-baf0-47d9-b642-bd0f7f29c842
316;ch.bakom.anschlussart-glasfaser;89c839ce-d778-4f53-be64-68bdc458e8c0
317;ch.bakom.anschlussart-koaxialkabel;aed73a77-fc04-4406-8ba3-fd998e2625db
318;ch.bakom.anschlussart-kupferdraht;fdb8b91e-1cc5-4c7a-8db7-3e3833e8a486
319;ch.bakom.downlink10;662ddb1a-b016-4d66-97dc-3f97fe092d39
320;ch.bakom.downlink100;0be906d8-ce6d-436c-8690-749a892ef5bb
321;ch.bakom.downlink1000;0b4dec69-5c20-4288-b487-a8f2bc33db70
322;ch.bakom.downlink3;a9631243-b897-4417-b407-06d28af9d2c1
323;ch.bakom.downlink30;fea5aba3-377a-4af1-a848-1f3d11238ff8
324;ch.bakom.downlink300;4f2bd604-1454-4371-aeed-bdf200b00df1
325;ch.bakom.downlink500;47528be7-774e-4e3e-af3d-3bb5d54f35fc
326;ch.bakom.mobil-antennenstandorte-5g;43814de7-42b6-4f33-a4d5-cdca8ca0d6cd
327;ch.bakom.mobil-antennenstandorte-gsm;1d7e059a-3d60-4876-905c-722cb469ac1d
328;ch.bakom.mobil-antennenstandorte-lte;4399b61b-23d9-49a8-ba8b-dd2452adbc7c
329;ch.bakom.mobil-antennenstandorte-umts;312ddf6a-52b1-4bd9-9610-f0e3707dedff
330;ch.bakom.mobilnetz-2g;06e8324a-03f6-4e2d-b5f9-202fdcffc929
331;ch.bakom.mobilnetz-3g;f424dac9-9157-4557-9a28-09b068ddb8f9
332;ch.bakom.mobilnetz-4g;4d42230c-c187-40d2-9b16-4dc247a2e154
333;ch.bakom.mobilnetz-5g;f28fedfa-64ad-43c3-9767-b11deabc886f
334;ch.bakom.notruf;7f3287d8-6ae7-491c-b8e1-1d9f81b194b4
335;ch.bakom.notruf-112_festnetz;415a014c-b3f6-40bd-8b38-c955e9e214e6
336;ch.bakom.notruf-112_mobilnetz;261dd9f1-3387-4bd9-b093-21cc7bf23970
337;ch.bakom.notruf-112_satellit;29139f7c-2b57-43de-b308-38666acfa0b9
338;ch.bakom.notruf-112_zentral;cb6d8528-ef3d-4412-8962-03f5ce6bfad3
339;ch.bakom.notruf-117_festnetz;33185a17-c810-41e0-aacd-3f3d44e410bd
340;ch.bakom.notruf-117_mobilnetz;b8bc1b3f-ea78-4254-b093-91d97894623d
341;ch.bakom.notruf-117_zentral;5ee5430f-1bd8-4027-a3fa-9df0d716da61
342;ch.bakom.notruf-118_festnetz;48964dfd-eaaa-4443-a281-6a91d6692073
343;ch.bakom.notruf-118_mobilnetz;c7baa23e-f09f-4940-a100-ab5321d67461
344;ch.bakom.notruf-118_zentral;cfad6c18-ac21-44d2-9eec-efb7f62a9be8
345;ch.bakom.notruf-143_festnetz;1a30baed-509c-4fe2-b7a7-1bcd885e7827
346;ch.bakom.notruf-143_mobilnetz;c2c6114c-707d-424d-a860-ffe4e22330c6
347;ch.bakom.notruf-143_zentral;5b41971f-599c-415e-9445-75b59f22a0bf
348;ch.bakom.notruf-144_festnetz;8eff7061-f805-4d8c-a37e-574f41e68869
349;ch.bakom.notruf-144_mobilnetz;261f29ed-3043-4668-998e-a76c63b8e3e2
350;ch.bakom.notruf-144_zentral;e8914fd0-4b48-4446-af8e-1afeea435060
351;ch.bakom.notruf-145_festnetz;d500e71f-68b0-4275-b73a-c35e254752f0
352;ch.bakom.notruf-145_mobilnetz;4ab16b53-65f3-4427-a667-8cce75f71fd0
353;ch.bakom.notruf-145_zentral;8aa977ba-61e7-4239-8b20-6e6880341fde
354;ch.bakom.notruf-147_festnetz;30bb29fc-55ec-4c10-a504-dc650c135b09
355;ch.bakom.notruf-147_mobilnetz;c883aaf2-3707-433f-a0d9-32f245f44eb9
356;ch.bakom.notruf-147_zentral;00347ff2-fc9d-4171-bc6d-5fe49658e80b
357;ch.bakom.radio-fernsehsender;b92fae28-d12b-4278-8535-1929807341cd
358;ch.bakom.uplink1;04ade34e-9654-4dfa-8788-ac6a3da206d6
359;ch.bakom.uplink10;41263c2e-bec9-4b1e-9e2d-11d69f8df58c
360;ch.bakom.uplink100;4f9876c4-5fa6-4cbc-b3db-b5934c681e7b
361;ch.bakom.uplink1000;69404fc3-9be6-4479-a09e-48f47e51588f
362;ch.bakom.versorgungsgebiet-tv;f57f174b-15ab-4428-b41f-916f33ea4cbb
363;ch.bakom.versorgungsgebiet-ukw;60a2fcd0-3a04-4fea-9bae-c3e0f9b31604
