;TECHPUBLAYERNAME;uuid
406;ch.bfe.abgeltung-wasserkraftnutzung;6c5acaa7-ac82-414a-a2bc-490f60c82580
407;ch.bfe.biogasanlagen;d303ef3f-2ab2-4b83-9d81-7594173e3728
408;ch.bfe.biomasse-nicht-verholzt;a1e28820-056f-4371-9bb3-8c17b846e56f
409;ch.bfe.biomasse-verholzt;b8539dc3-3a56-467e-8433-80f522bfd6fc
410;ch.bfe.elektrizitaetsproduktionsanlagen;e5a00bdb-5022-4856-ad4a-d1afe7bf38b0
411;ch.bfe.energieberatungsstellen;26b94fae-3709-4436-901b-eb27546e9afe
412;ch.bfe.energieforschung;b77e2add-87d1-45a4-b5fc-73cb403ee268
413;ch.bfe.energiestaedte;393940cd-6a67-4190-8b91-378669cdea1d
414;ch.bfe.energiestaedte-2000watt-areale;d11e76bf-7df2-4057-8fa8-71a0a19523ea
415;ch.bfe.erneuerbarheizen;0f756190-b7f7-4a4b-94db-696ed67676a4
416;ch.bfe.erneuerbarheizen-mehrfamilienhaeuser;0f756190-b7f7-4a4b-94db-696ed67676a4
417;ch.bfe.fernwaerme-angebot;b6c8d9c6-a2ca-435a-af0a-6a8ac94199fc
418;ch.bfe.fernwaerme-nachfrage_industrie;25de2a79-1714-4db8-a7ad-48efc8a4f5c7
419;ch.bfe.fernwaerme-nachfrage_wohn_dienstleistungsgebaeude;32a8a3cd-d269-4915-b983-54fd979ca486
420;ch.bfe.kehrichtverbrennungsanlagen;d9596eaf-5629-4756-9a46-4f178407b905
421;ch.bfe.kernkraftwerke;74e0e4a7-165a-414d-b1a5-1921162f04ab
422;ch.bfe.kleinwasserkraftpotentiale;c4b695b0-23ad-4d0d-a496-16fc0f597819
423;ch.bfe.komo-projekte;0d216c1b-2998-4eb9-a47b-ac88aafb7271
424;ch.bfe.ladestellen-elektromobilitaet;deb77904-21ff-4ff4-b53d-b6ddb4615168
425;ch.bfe.meteorologische-vereisung;94cedad7-6d19-46b2-9ecf-0d1d1a58bea8
426;ch.bfe.minergiegebaeude;ad60a67c-f0a0-41fa-84f2-20b8565c9da9
427;ch.bfe.rohrleitungen-konsultationsbereiche;9188dcff-dced-43b9-8127-b3104f09c175
428;ch.bfe.sachplan-geologie-tiefenlager;7162f14b-4c16-4ec3-8ac6-b158136e65c7
429;ch.bfe.sachplan-uebertragungsleitungen_anhoerung;8a86e8e0-adff-4815-bbea-bef208138ad5
430;ch.bfe.sachplan-uebertragungsleitungen_kraft;e1134feb-55d7-4b44-8e13-125e983b259b
431;ch.bfe.solarenergie-eignung-daecher;b614de5c-2f12-4355-b2c9-7aef2c363ad6
432;ch.bfe.solarenergie-eignung-fassaden;3849f57d-9bdd-428c-8d13-08be446e197a
433;ch.bfe.statistik-wasserkraftanlagen;a7d239f2-4202-4760-9537-41e1a8c3c984
434;ch.bfe.stauanlagen-bundesaufsicht;b5225e07-9884-47b9-8bc2-161d07d1e7f2
435;ch.bfe.thermische-netze;92b85345-4513-45a8-b64a-d7dbebd648a3
436;ch.bfe.windenergie-geschwindigkeit_h100;216fd29a-b016-457f-aecf-3a8b1cc70803
437;ch.bfe.windenergie-geschwindigkeit_h125;8d78a2a4-03fa-4d95-8a37-57594f2bf7d4
438;ch.bfe.windenergie-geschwindigkeit_h150;bb51c6f0-2be5-4933-9582-90dc613c8c75
439;ch.bfe.windenergie-geschwindigkeit_h50;69f9bf6d-f168-4250-8c5a-77398fa750cb
440;ch.bfe.windenergie-geschwindigkeit_h75;d5892cf4-38fa-4af7-9ddb-f87dd2ed06cd
441;ch.bfe.windenergie-potenzialgebiete;bf588f7f-7708-4518-932e-ef950e0c789a
442;ch.bfe.windenergieanlagen;b11962c5-cad9-4783-9e88-d8248e90c47f
