;TECHPUBLAYERNAME;uuid
443;ch.bfs.arealstatistik;8ac687ee-ad27-4ac7-8c1c-b64abee9e3b3
444;ch.bfs.arealstatistik-1985;0dff304b-d90c-4f9c-bd9d-f3c315a128c2
445;ch.bfs.arealstatistik-1997;260bbbe0-0c10-4a31-b566-cd0d6f143a09
446;ch.bfs.arealstatistik-bodenbedeckung;b53c03bb-a168-491f-b266-c7e9ec0af320
447;ch.bfs.arealstatistik-bodenbedeckung-1985;1c6bc7a0-b243-49f0-9078-6576b37716b7
448;ch.bfs.arealstatistik-bodenbedeckung-1997;af74a95b-7295-47b8-8cfe-795e9a09a086
449;ch.bfs.arealstatistik-bodennutzung;5082c28a-33cc-47d6-a577-a6118238def5
450;ch.bfs.arealstatistik-bodennutzung-1985;f954beeb-7f1e-44a4-b975-19ea9b8c369f
451;ch.bfs.arealstatistik-bodennutzung-1997;5257c12e-bb39-4983-a98a-8103cb3f1611
452;ch.bfs.arealstatistik-hintergrund;f03f085a-6bff-4063-b664-5546e32ba2e2
453;ch.bfs.arealstatistik-waldmischungsgrad;116447b0-31b0-477c-9203-9f51d43e4ac5
454;ch.bfs.betriebszaehlungen-arbeitsstaetten;ecc82a85-9ecb-4f14-873d-bd07d8468bad
455;ch.bfs.betriebszaehlungen-beschaeftigte_vollzeitaequivalente;1a764cdd-9d11-4cfe-b440-66d7caef7fa4
456;ch.bfs.erreichbarkeit-apotheken;3fd30387-b9cb-493e-9e7d-ce9e853afe31
457;ch.bfs.erreichbarkeit-restaurants;8f48d5dd-270b-46c5-bf82-c8e7929d08f6
458;ch.bfs.gebaeude_wohnungs_register;56553efe-4a2c-449d-93ba-cf7edd518d56
459;ch.bfs.generalisierte-grenzen_agglomerationen_g1;68924d22-bc42-425e-bbcc-a2f75c5c796c
460;ch.bfs.generalisierte-grenzen_agglomerationen_g2;4aa954c6-2d71-4d96-ab85-cb5fb128be8e
461;ch.bfs.landschaftswandel;826921fb-2bf7-44af-a71a-af56bda3dd6d
462;ch.bfs.volkszaehlung-bevoelkerungsstatistik_einwohner;4bfbbf20-d90e-4131-8fe2-4c454ad45c16
463;ch.bfs.volkszaehlung-gebaeudestatistik_gebaeude;ac730d03-1840-4f64-bc89-9f06d2491e25
464;ch.bfs.volkszaehlung-gebaeudestatistik_wohnungen;987a55d8-fcc5-497a-b553-da1f1517e5c4
