;TECHPUBLAYERNAME;uuid
465;ch.blw.alpprodukte;843b3f48-ec98-4143-b9e6-1db1ad6ddac0
466;ch.blw.bergprodukte;c5bc9d6b-cafb-4617-97d7-868ab4cd5506
467;ch.blw.bewaesserungsbeduerftigkeit;a3acc755-aad5-4992-b3f3-91f1137a94cb
468;ch.blw.bodeneignung-gruendigkeit;a1c56c8d-05c9-425f-9aed-71e265081634
469;ch.blw.bodeneignung-kulturland;843de9c9-6feb-4577-ab3b-e4fb62a9c56a
470;ch.blw.bodeneignung-kulturtyp;4d7ea1c8-451b-46b6-8e16-ffee10e0c9a7
471;ch.blw.bodeneignung-naehrstoffspeichervermoegen;05216096-7514-4084-a361-49a2cee1f44c
472;ch.blw.bodeneignung-skelettgehalt;b07f2385-ee3d-4dae-aac2-3fce678ead33
473;ch.blw.bodeneignung-vernaessung;ace71da1-bfd1-4745-a2f1-40b4567f4907
474;ch.blw.bodeneignung-wasserdurchlaessigkeit;d5bd22a3-0656-4582-97bc-37f77b5426ca
475;ch.blw.bodeneignung-wasserspeichervermoegen;6caf4d0f-52da-433a-809f-92781316ad0e
476;ch.blw.erosion;02210bb3-1c51-4c2c-a665-a696286b945c
477;ch.blw.erosion-fliesswegkarte;c3469d7a-9d43-4873-af2a-bd5cc230a958
478;ch.blw.erosion-quantitativ;14c92382-adf0-45d9-ad07-d41bd976c2a3
479;ch.blw.feldblockkarte;9d673266-aed0-46f3-a536-4eb7d57582e9
480;ch.blw.gewaesseranschlusskarte;77c1fecd-d698-442f-b957-65664297b26d
481;ch.blw.gewaesseranschlusskarte-direkt;f03ce6ec-d927-4171-88a4-2369a75d4685
482;ch.blw.hang_steillagen;689dcf53-f025-4ea2-890a-dfcebca5812f
483;ch.blw.klimaeignung-futterbau;4f01b7dd-a576-45ee-9158-82789334c577
484;ch.blw.klimaeignung-getreidebau;04aa6587-d884-4c20-87a3-ff537e6d2626
485;ch.blw.klimaeignung-kartoffeln;859f26d4-f820-4b1f-bad4-44e88bae59a6
486;ch.blw.klimaeignung-koernermais;aaa31b34-09da-4944-b43e-fb1b21cc6f96
487;ch.blw.klimaeignung-kulturland;8148d26b-7aae-48b1-8c02-a391c33f59a7
488;ch.blw.klimaeignung-spezialkulturen;fe7c18e2-87d3-464f-a22e-7cc03e61d480
489;ch.blw.klimaeignung-typ;f743a51c-7487-46a5-af16-5bf031edc417
490;ch.blw.klimaeignung-zwischenfruchtbau;17b0f989-a79e-4837-b5a2-cf38c23a662c
491;ch.blw.landwirtschaftliche-zonengrenzen;6e4544bc-55f4-4aef-b36a-e36fe376eaf8
492;ch.blw.niederschlagshaushalt;0335f9f0-b0b1-4925-9c9d-d530ed2dd1cf
493;ch.blw.steil_terrassenlagen_rebbau;c3e162d0-512b-4baa-ae0f-0d4bd7418ad7
494;ch.blw.ursprungsbezeichnungen-fleisch;d8a34a75-b1c3-4387-8b03-63dd150f529b
495;ch.blw.ursprungsbezeichnungen-kaese;2109a970-681d-4efb-9fd5-6f7da5ae0e14
496;ch.blw.ursprungsbezeichnungen-konditoreiwaren;0652c964-e9d5-4c4a-8efe-5043f48b457f
497;ch.blw.ursprungsbezeichnungen-pflanzen;199c9078-9da7-4a77-b811-b342adc2a116
498;ch.blw.ursprungsbezeichnungen-spirituosen;bc34236a-ffe9-40af-9eae-d2cf1e0e96e6
