;UUID;Protokoll;URL
0;UUID;Protokoll;URL
0;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb;WWW:LINK;https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/programme-und-projekte/pav.html
1;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.are.agglomerationsverkehr
2;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb;CHTOPO:specialised-geoportal;https://map.are.admin.ch/?Y=660000&X=190000&zoom=1&bgLayer=ch.swisstopo.pixelkarte-grau&layers=ch.are.agglomerationsverkehr&layers_opacity=0.5&layers_visibility=true&lang=de
3;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb;ESRI:REST;https://api3.geo.admin.ch
0;055192b1-c378-4e66-8d43-c926f0be7980;WWW:LINK;https://www.are.admin.ch/are/de/home/raumentwicklung-und-raumplanung/grundlagen-und-daten/bauzonenstatistik-schweiz.html
1;055192b1-c378-4e66-8d43-c926f0be7980;WWW:DOWNLOAD-URL;https://www.kkgeo.ch/geodaten/geodaten-bauzonen-schweiz
2;055192b1-c378-4e66-8d43-c926f0be7980;CHTOPO:specialised-geoportal;http://map.are.admin.ch/?Y=660000&X=190000&zoom=1&bgLayer=ch.swisstopo.pixelkarte-grau&layers=ch.are.bauzonen&layers_opacity=0.6&layers_visibility=true&lang=de
3;055192b1-c378-4e66-8d43-c926f0be7980;ESRI:REST;https://api3.geo.admin.ch
0;f254b380-3652-4a64-82f4-6cd42fd8f6cc;WWW:LINK;https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/grundlagen-und-daten/verkehrsmodellierung/nationale-gueterverkehrsmodellierung.html
1;f254b380-3652-4a64-82f4-6cd42fd8f6cc;WWW:DOWNLOAD-URL;https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/grundlagen-und-daten/verkehrsmodellierung/datenzugang.html
2;f254b380-3652-4a64-82f4-6cd42fd8f6cc;CHTOPO:specialised-geoportal;http://map.are.admin.ch/?Y=660000&X=190000&zoom=1&bgLayer=ch.swisstopo.pixelkarte-grau&layers=ch.are.belastung-gueterverkehr-bahn&layers_opacity=1&layers_visibility=true&lang=de
3;f254b380-3652-4a64-82f4-6cd42fd8f6cc;ESRI:REST;https://api3.geo.admin.ch
0;8f35a393-5ee2-44b5-a68e-8d820e968054;WWW:LINK;https://www.are.admin.ch/are/de/home/verkehr-und-infrastruktur/grundlagen-und-daten/verkehrsmodellierung/nationale-gueterverkehrsmodellierung.html
