;Unnamed: 0;TECHPUBLAYERNAME;uuid;procedure
0;0;ch.are.agglomerationsverkehr;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb;[]
1;1;ch.are.alpenkonvention;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;
2;2;ch.are.bauzonen;055192b1-c378-4e66-8d43-c926f0be7980;[]
3;3;ch.are.belastung-gueterverkehr-bahn;f254b380-3652-4a64-82f4-6cd42fd8f6cc;[]
4;4;ch.are.belastung-gueterverkehr-strasse;8f35a393-5ee2-44b5-a68e-8d820e968054;[]
5;5;ch.are.belastung-personenverkehr-bahn;6fa32c65-988d-4e09-8034-6c5abcbd4e3f;[]
6;6;ch.are.belastung-personenverkehr-strasse;4540e0db-04c7-4509-b809-11542e7acba9;[]
7;7;ch.are.erreichbarkeit-miv;f0835478-07fc-4e12-bf48-51646a59c809;[]
8;8;ch.are.erreichbarkeit-oev;e3437f64-68e1-4b07-ae35-22597ca89cc2;[]
9;9;ch.are.gemeindetypen;c967f055-9482-4bcb-a1bb-8de7971e7293;[]
10;10;ch.are.gueteklassen_oev;61a79435-b986-495e-b3ea-fe97c4abd558;[]
11;11;ch.are.landschaftstypen;27a33007-d187-41d9-97b7-6dc733a06e9b;[]
12;12;ch.are.reisezeit-agglomerationen-miv;d23ebfb6-00a4-44d6-8463-4d34d57a5ff4;[]
13;13;ch.are.reisezeit-agglomerationen-oev;333489d5-6ea1-468d-b1d5-bd213d9f1d0b;[]
14;14;ch.are.reisezeit-miv;aee88d88-6fa6-445c-8d4d-5b40f592436b;[]
15;15;ch.are.reisezeit-oev;b8193af2-bc91-4baa-92aa-64c6cbccb4a8;[]
16;16;ch.are.windenergie-bundesinteressen;171a7520-27b2-4a60-9251-acf9b450d6b6;[]
17;17;ch.are.wohnungsinventar-zweitwohnungsanteil;ed80ebde-99a0-4523-bc8a-4ec23426d966;[]
