;UUID;Protokoll;URL
0;UUID;Protokoll;URL
0;6c5acaa7-ac82-414a-a2bc-490f60c82580;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/wasser/abgeltung-von-einbussen-der-wasserkraftnutzung-vaew.html
1;6c5acaa7-ac82-414a-a2bc-490f60c82580;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bfe.abgeltung-wasserkraftnutzung/
2;6c5acaa7-ac82-414a-a2bc-490f60c82580;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=energie&bgLayer=ch.swisstopo.pixelkarte-grau&lang=de&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441&X=203750.00&Y=654500.00&zoom=1&layers=ch.bfe.abgeltung-wasserkraftnutzung&layers_opacity=0.75
3;6c5acaa7-ac82-414a-a2bc-490f60c82580;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
0;d303ef3f-2ab2-4b83-9d81-7594173e3728;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/biomasse/biogasanlagen.html
1;d303ef3f-2ab2-4b83-9d81-7594173e3728;ESRI:REST;https://api3.geo.admin.ch/rest/services/api/MapServer/ch.bfe.biogasanlagen
2;d303ef3f-2ab2-4b83-9d81-7594173e3728;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bfe.biogasanlagen/
3;d303ef3f-2ab2-4b83-9d81-7594173e3728;WWW:LINK;https://map.geo.admin.ch/?topic=energie&lang=de&bgLayer=ch.swisstopo.pixelkarte-grau&layers_visibility=false,false,false,false&layers_timestamp=18641231,,,&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206
4;d303ef3f-2ab2-4b83-9d81-7594173e3728;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
0;a1e28820-056f-4371-9bb3-8c17b846e56f;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/biomasse/biomassepotenziale.html
1;a1e28820-056f-4371-9bb3-8c17b846e56f;WWW:LINK;https://map.geo.admin.ch/?topic=energie&lang=de&bgLayer=ch.swisstopo.pixelkarte-grau&layers_visibility=false,false,false,false&layers_timestamp=18641231,,,&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206
2;a1e28820-056f-4371-9bb3-8c17b846e56f;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;a1e28820-056f-4371-9bb3-8c17b846e56f;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bfe.biomasse-nicht-verholzt
0;b8539dc3-3a56-467e-8433-80f522bfd6fc;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/biomasse/biomassepotenziale.html
1;b8539dc3-3a56-467e-8433-80f522bfd6fc;WWW:LINK;https://map.geo.admin.ch/?topic=energie&lang=de&bgLayer=ch.swisstopo.pixelkarte-grau&layers_visibility=false,false,false,false&layers_timestamp=18641231,,,&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206
2;b8539dc3-3a56-467e-8433-80f522bfd6fc;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;b8539dc3-3a56-467e-8433-80f522bfd6fc;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bfe.biomasse-verholzt
0;26b94fae-3709-4436-901b-eb27546e9afe;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/staedte-und-gemeinden/energieberatungsstellen.html
1;26b94fae-3709-4436-901b-eb27546e9afe;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bfe.energieberatungsstellen/
2;26b94fae-3709-4436-901b-eb27546e9afe;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=energie&lang=de&bgLayer=ch.swisstopo.pixelkarte-grau&layers_visibility=false,false,false,false&layers_timestamp=18641231,,,&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206
3;26b94fae-3709-4436-901b-eb27546e9afe;OGC:WMS;https://wms.geo.admin.ch/?REQUEST=GetCapabilities&SERVICE=WMS&VERSION=1.0.0
0;b77e2add-87d1-45a4-b5fc-73cb403ee268;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/cleantech-pilot-demonstrations-und-leuchtturmprojekte.html
0;393940cd-6a67-4190-8b91-378669cdea1d;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/staedte-und-gemeinden/energiestaedte.html
1;393940cd-6a67-4190-8b91-378669cdea1d;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bfe.energiestaedte/
2;393940cd-6a67-4190-8b91-378669cdea1d;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?lang=de&topic=energie&bgLayer=ch.swisstopo.pixelkarte-grau&layers=ch.bfe.energiestaedte&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206&layers_opacity=0.6
3;393940cd-6a67-4190-8b91-378669cdea1d;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
4;393940cd-6a67-4190-8b91-378669cdea1d;ESRI:REST docu;https://api3.geo.admin.ch/services/sdiservices.html
5;393940cd-6a67-4190-8b91-378669cdea1d;ESRI:REST data;https://api3.geo.admin.ch/rest/services/api/MapServer/ch.bfe.energiestaedte
6;393940cd-6a67-4190-8b91-378669cdea1d;Preview map;https://map.geo.admin.ch/?layers=ch.bfe.energiestaedte&lang=de&topic=ech&bgLayer=ch.swisstopo.pixelkarte-farbe&layers_opacity=0.75
0;d11e76bf-7df2-4057-8fa8-71a0a19523ea;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/staedte-und-gemeinden/2000-watt-areale.html
1;d11e76bf-7df2-4057-8fa8-71a0a19523ea;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bfe.energiestaedte-2000watt-areale/
2;d11e76bf-7df2-4057-8fa8-71a0a19523ea;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?lang=de&topic=energie&bgLayer=ch.swisstopo.pixelkarte-grau&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206&layers=ch.bfe.energiestaedte-2000watt-areale
3;d11e76bf-7df2-4057-8fa8-71a0a19523ea;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
0;0f756190-b7f7-4a4b-94db-696ed67676a4;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten.html
1;0f756190-b7f7-4a4b-94db-696ed67676a4;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bfe.erneuerbarheizen/
2;0f756190-b7f7-4a4b-94db-696ed67676a4;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=energie&bgLayer=ch.swisstopo.pixelkarte-grau&lang=de&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441&X=203750.00&Y=654500.00&zoom=1&layers=ch.bfe.erneuerbarheizen
3;0f756190-b7f7-4a4b-94db-696ed67676a4;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
0;0f756190-b7f7-4a4b-94db-696ed67676a4;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten.html
1;0f756190-b7f7-4a4b-94db-696ed67676a4;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bfe.erneuerbarheizen/
2;0f756190-b7f7-4a4b-94db-696ed67676a4;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=energie&bgLayer=ch.swisstopo.pixelkarte-grau&lang=de&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441&X=203750.00&Y=654500.00&zoom=1&layers=ch.bfe.erneuerbarheizen
3;0f756190-b7f7-4a4b-94db-696ed67676a4;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
0;b6c8d9c6-a2ca-435a-af0a-6a8ac94199fc;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/thermische-netze/waerme-und-kaelteangebot.html
1;b6c8d9c6-a2ca-435a-af0a-6a8ac94199fc;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bfe.fernwaerme-angebot
2;b6c8d9c6-a2ca-435a-af0a-6a8ac94199fc;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?lang=de&topic=energie&bgLayer=ch.swisstopo.pixelkarte-grau&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206,15075&layers=ch.bfe.fernwaerme-nachfrage_industrie,ch.bfe.fernwaerme-nachfrage_wohn_dienstleistungsgebaeude,ch.bfe.fernwaerme-angebot&layers_opacity=0.75,0.75,1
3;b6c8d9c6-a2ca-435a-af0a-6a8ac94199fc;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
0;25de2a79-1714-4db8-a7ad-48efc8a4f5c7;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/thermische-netze/waerme-und-kaeltenachfrage-industrie.html
1;25de2a79-1714-4db8-a7ad-48efc8a4f5c7;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bfe.fernwaerme-nachfrage_industrie
2;25de2a79-1714-4db8-a7ad-48efc8a4f5c7;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?lang=de&topic=energie&bgLayer=ch.swisstopo.pixelkarte-grau&layers=ch.bfe.fernwaerme-nachfrage_industrie,ch.bfe.fernwaerme-nachfrage_wohn_dienstleistungsgebaeude,ch.bfe.fernwaerme-angebot&layers_opacity=0.75,0.75,1&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206
3;25de2a79-1714-4db8-a7ad-48efc8a4f5c7;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
0;32a8a3cd-d269-4915-b983-54fd979ca486;WWW:LINK;https://www.bfe.admin.ch/bfe/de/home/versorgung/statistik-und-geodaten/geoinformation/geodaten/thermische-netze/waerme-und-kaeltenachfrage-wohn-und-dienstleistungsgebaeude.html
1;32a8a3cd-d269-4915-b983-54fd979ca486;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bfe.fernwaerme-nachfrage_wohn_dienstleistungsgebaeude
2;32a8a3cd-d269-4915-b983-54fd979ca486;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?lang=de&topic=energie&bgLayer=ch.swisstopo.pixelkarte-grau&layers=ch.bfe.fernwaerme-nachfrage_industrie,ch.bfe.fernwaerme-nachfrage_wohn_dienstleistungsgebaeude,ch.bfe.fernwaerme-angebot&layers_opacity=0.75,0.75,1&catalogNodes=2419,2420,2427,2480,2429,2431,2434,2436,2767,2441,3206
3;32a8a3cd-d269-4915-b983-54fd979ca486;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
0;d9596eaf-5629-4756-9a46-4f178407b905;WWW:LINK;https://www.bfe.admin.ch/geoinformation/index.html?lang=de
1;d9596eaf-5629-4756-9a46-4f178407b905;WWW:DOWNLOAD-URL;https://data.geo.admin.ch/ch.bfe.kehrichtverbrennungsanlagen
2;d9596eaf-5629-4756-9a46-4f178407b905;WWW:LINK;https://s.geo.admin.ch/79ab9aa670
3;d9596eaf-5629-4756-9a46-4f178407b905;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
