;Unnamed: 0;TECHPUBLAYERNAME;uuid;procedure
0;695;ch.vbs.armeelogistikcenter;ae538f59-74af-4ed4-999b-66cfb52c36de;['add', 201]
1;696;ch.vbs.bundestankstellen-bebeco;7f8c99f2-7736-4fe6-8d69-0af201f01526;['add', 201]
2;697;ch.vbs.grunddispositiv-zeus;6441b459-e9c6-41a7-b88d-5529c3b1d003;['add', 201]
3;698;ch.vbs.kataster-belasteter-standorte-militaer;d56dc013-2659-4664-8829-7e097dfa4173;['add', 201]
4;699;ch.vbs.logistikraeume-armeelogistikcenter;270a2032-d346-42c5-a657-9129186f1f08;['add', 201]
5;700;ch.vbs.milairspacechart;7cc94b45-7104-4187-92ea-d1f9a1f838ba;['add', 201]
6;701;ch.vbs.panzerverschiebungsrouten;b0478e7d-63df-4ff8-b90c-336a2b5176db;['add', 201]
7;702;ch.vbs.patrouilledesglaciers-a_rennen;30c41be6-0f35-4caa-aeda-45f8705911fb;['add', 201]
8;703;ch.vbs.patrouilledesglaciers-z_rennen;64d14c1a-25bb-4bf5-bad3-057823a334ef;['add', 201]
9;704;ch.vbs.retablierungsstellen;e436f7aa-3d59-4f4e-8940-46d2b181a9b4;['add', 201]
10;705;ch.vbs.sachplan-infrastruktur-militaer_anhoerung;4817187f-700e-4588-94d6-0873fd23febd;['add', 201]
11;706;ch.vbs.sachplan-infrastruktur-militaer_kraft;5263bc47-8723-4c02-988a-4ae0d425099c;['add', 201]
12;707;ch.vbs.schiessanzeigen;49b2cd7e-8513-4c8f-b3e6-ca8cd922b1cc;['add', 201]
13;708;ch.vbs.sperr-gefahrenzonenkarte;ef594c48-dcc6-4e22-894d-db65873637a3;['add', 201]
14;709;ch.vbs.swissmilpilotschart;4aeffa2c-5b31-41fa-bdc8-17f6faf09848;['add', 201]
15;710;ch.vbs.territorialregionen;f1d7d608-74d7-46fc-a478-b4357409f34b;['add', 201]
16;711;ch.vbs.waldschadenkarte;2ff2299e-55b5-4ec7-bb92-fbb06e7ee422;['add', 201]
