;TECHPUBLAYERNAME;uuid
501;ch.meteoschweiz.hagelgefaehrdung-korngroesse_10_jahre;57bfd8dd-5385-4bab-956d-3757d53027f5
502;ch.meteoschweiz.hagelgefaehrdung-korngroesse_20_jahre;ef2ec7f4-0c37-4fa0-8794-aac151342ed2
503;ch.meteoschweiz.hagelgefaehrdung-korngroesse_50_jahre;6a87d3b6-aec7-4905-94b9-894fb20bb6af
504;ch.meteoschweiz.klimanormwerte-niederschlag_1961_1990;4b9ddc34-69b3-49a0-bdb9-5f9ed053030a
505;ch.meteoschweiz.klimanormwerte-niederschlag_aktuelle_periode;fe2ed6a2-f08d-4d23-8fc1-807c445e7934
506;ch.meteoschweiz.klimanormwerte-sonnenscheindauer_1961_1990;e7873de9-c1dc-4ded-a417-2c4dc2d839fc
507;ch.meteoschweiz.klimanormwerte-sonnenscheindauer_aktuelle_periode;d77b8012-0b88-40f2-94a9-60b0a4ea9d38
508;ch.meteoschweiz.klimanormwerte-temperatur_1961_1990;1549b018-f8f0-4a56-bd17-c8a4377afe58
509;ch.meteoschweiz.klimanormwerte-temperatur_aktuelle_periode;68adbf85-b4b1-4ce6-9c1c-e7b895d885ec
510;ch.meteoschweiz.messnetz-atmosphaere;8a1f0d78-5415-4b25-ac08-f4c8d632af39
511;ch.meteoschweiz.messnetz-automatisch;d9ea83de-b8d7-44e1-a7e3-3065699eb571
512;ch.meteoschweiz.messnetz-beobachtungen;bb2c81cc-0f41-4bd0-919e-c7671e27cd12
513;ch.meteoschweiz.messnetz-flugwetter;7a069711-0dbf-45c4-9b43-60b66d407e74
514;ch.meteoschweiz.messnetz-klima;7868ec31-74fc-48ca-94bf-62237c4800a8
515;ch.meteoschweiz.messnetz-manuell;f83b7866-de32-41a7-a398-c5b8908b8853
516;ch.meteoschweiz.messnetz-partner;34dfcd14-f8d2-4bcb-94d4-1de4b0af3021
517;ch.meteoschweiz.messnetz-phaenologie;92f068d0-568b-4416-acbb-ee9e295463ce
518;ch.meteoschweiz.messnetz-pollen;c75ed269-5961-4b0e-bea8-9c64c34d84ee
519;ch.meteoschweiz.messnetz-webcams;d3fb5971-b21b-433f-aa27-2fa8adb76248
520;ch.meteoschweiz.messwerte-foehn-10min;8d15939e-b489-467f-8a76-cbf7abb0ada9
521;ch.meteoschweiz.messwerte-gesamtschnee-1d;d460972c-273f-4404-8221-1ccb6ac351ce
522;ch.meteoschweiz.messwerte-globalstrahlung-10min;4865107d-fc3a-4ee7-9532-78e54b3404e8
523;ch.meteoschweiz.messwerte-globalstrahlung-1d;f2c74c64-5bb3-48b3-8836-eab4a2dae47c
524;ch.meteoschweiz.messwerte-luftdruck-700hpa-flaeche-10min;800943fd-596a-458c-a570-1c1137451d5f
525;ch.meteoschweiz.messwerte-luftdruck-850hpa-flaeche-10min;479d53c8-bc50-42d0-a50a-1e6b466f0e08
526;ch.meteoschweiz.messwerte-luftdruck-differenz-3h;e81f13db-cdf9-4711-ab31-9847b003851b
527;ch.meteoschweiz.messwerte-luftdruck-qfe-10min;e6ac5527-5447-4c24-a39b-1b248c65992f
528;ch.meteoschweiz.messwerte-luftdruck-qff-10min;4d0b133f-8225-4ff9-914d-961f8f6e91a6
529;ch.meteoschweiz.messwerte-luftdruck-qnh-10min;8af9396d-a199-416d-883f-9763f3fdf16a
530;ch.meteoschweiz.messwerte-luftfeuchtigkeit-10min;27555e51-199b-431c-bffe-8e7b58faff4f
531;ch.meteoschweiz.messwerte-lufttemperatur-10min;3df8ca1c-70ec-4b7c-89b1-413e89dbb15b
532;ch.meteoschweiz.messwerte-lufttemperatur-24h-max-1h;59e85269-6b7d-47ad-96f6-e19149df10f8
533;ch.meteoschweiz.messwerte-lufttemperatur-24h-min-1h;40f040da-c19b-4dc4-b798-f672de872f7a
534;ch.meteoschweiz.messwerte-neuschnee-1d;8a0cf1c7-b42e-44c9-957a-f944d7e951c8
535;ch.meteoschweiz.messwerte-neuschnee-2d;df711c72-1335-4485-8936-5dec4573a383
536;ch.meteoschweiz.messwerte-neuschnee-3d;91424c0d-4196-4a63-a9be-8e2c71c80fa1
537;ch.meteoschweiz.messwerte-niederschlag-10min;70a66635-768f-40d1-8370-65734a1060e7
538;ch.meteoschweiz.messwerte-niederschlag-1d;70498706-eba2-4621-8c4c-91a4a98801ed
539;ch.meteoschweiz.messwerte-niederschlag-1h;8f3eb01b-9368-4400-8c39-68ec0221f029
540;ch.meteoschweiz.messwerte-niederschlag-24h;212d2b23-6f58-437b-8748-cfc88794085c
541;ch.meteoschweiz.messwerte-niederschlag-48h;83a919bf-530b-4d2b-9a53-69d579eb693c
542;ch.meteoschweiz.messwerte-niederschlag-72h;d64e63e2-41b7-4f4c-9a72-5f239e4001f3
543;ch.meteoschweiz.messwerte-pollen-birke-1h;9ae60982-115e-4a52-b7a8-4d963b1dfc7b
544;ch.meteoschweiz.messwerte-pollen-buche-1h;13237b0e-5078-4fb1-9c41-f694ef5704fb
545;ch.meteoschweiz.messwerte-pollen-eiche-1h;78a41177-6125-4f11-ac8b-4ec6166dad70
546;ch.meteoschweiz.messwerte-pollen-erle-1h;012c160a-1404-42dd-8379-001a0bb2375b
547;ch.meteoschweiz.messwerte-pollen-esche-1h;7ad27023-2cfd-4103-b68b-a57288837557
548;ch.meteoschweiz.messwerte-pollen-graeser-1h;fed6787d-8e1c-4d06-a18d-1287e7302b40
549;ch.meteoschweiz.messwerte-pollen-hasel-1h;1b800419-21ff-4504-b54c-edab706d201c
550;ch.meteoschweiz.messwerte-sonnenscheindauer-10min;04611009-c323-4ece-a9fc-f6ce8fc62c60
551;ch.meteoschweiz.messwerte-sonnenscheindauer-kumuliert-10min;351b2fa0-060b-4ca4-a10b-d49c69eb0091
552;ch.meteoschweiz.messwerte-sonnenscheindauer-relativ-1d;dc6dcd27-aafb-4912-9db5-9803b8a92506
553;ch.meteoschweiz.messwerte-taupunkt-10min;5d6f8794-bf59-458e-a16c-aeb98df5d6c8
554;ch.meteoschweiz.messwerte-wind-boeenspitze-kmh-10min;0b2cff5d-65c3-4e7a-8e1f-355c2b608948
555;ch.meteoschweiz.messwerte-wind-boeenspitze-kmh-6h;fa6441c1-34bf-4f7a-a3be-be3e06f37061
556;ch.meteoschweiz.messwerte-windgeschwindigkeit-kmh-10min;ec9e5d28-f102-418a-a8b9-1e6db53a4826
