;UUID;Title Geocat;All Keywords Geocat;Keyword BGDI;Bundesamt Geocat;Organisation Geocat;Published Geocat;TECHPUBLAYER;GDSKEY;REMARKS;HASWMTSSERVICE;HASWMSSERVICE;HASFREEWMSSERVICE;HASRAWPACKAGESERVICE;ISPUBLISHEDINAPI;ISPUBLISHEDINONLINEVIEWER
0;b814401b-9eb2-4e6c-b4a9-f24df7b8bba6;Aeromagnetische Karte 1:100000 Aargau bis Schaffhausen (1500 m);Geophysikalische Karte, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Geophysik, Magnetismus;no;swisstopo;Bundesamt für Landestopografie;yes;ch.nagra.aeromagnetische-karte_1500;AEROMAG_KARTE_AG_SH;;True;False;False;False;True;True
1;2ffdbb13-27dc-4380-8349-8debfeca4fd9;Aeromagnetische Karte 1:100000 Aargau bis Schaffhausen (1100 m);Aufbewahrungs- und Archivierungsplanung AAP - Bund, Geophysikalische Karte, Geobasisdaten, Geophysik, Magnetismus;no;swisstopo;Bundesamt für Landestopografie;yes;ch.nagra.aeromagnetische-karte_1100;AEROMAG_KARTE_AG_SH;;True;False;False;False;True;True
2;4cc706a2-0005-4cc6-8326-7b944a1d5b05;Aeromagnetische Karte der Schweiz 1:500000;Geophysikalische Karte, opendata.swiss, Geobasisdaten, e-geo.ch, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Magnetismus, Geophysik, Geologie;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.geologie-geophysik-aeromagnetische_karte_schweiz;AEROMAG_KARTE_CH;;True;False;True;True;True;True
3;f952b9be-9a11-478c-a21c-9d5e8631c7c2;Aeromagnetische Karte des Schweizerischen Mittellandes und Juras;Geophysikalische Karte, Geobasisdaten, opendata.swiss, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Magnetismus, Geophysik, Geologie;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.geologie-geophysik-aeromagnetische_karte_jura;AEROMAG_KARTE_MITTELLAND_JU;;True;False;True;True;True;True
4;53c8a8bb-67ab-4525-8b64-011079e63294;Äschenpopulationen von nationaler Bedeutung: Laichplätze;Umwelt, Lebensräume und Biotope, opendata.swiss;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.fischerei-aeschen_laichplaetze;AESCHENPOP;;False;False;False;True;False;True
5;ea67adf4-0f51-4f9a-ae5d-35d950f35d76;Äschenpopulationen von nationaler Bedeutung: Verbreitungsgebiet;Umwelt, Lebensräume und Biotope, opendata.swiss;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.fischerei-aeschen_verbreitungsgebiet;AESCHENPOP;;False;False;False;True;False;True
6;befea12b-b27b-40dd-920d-9c4d2eafc7fb;Äschenpopulationen von nationaler Bedeutung: Kernzonen;Umwelt, Lebensräume und Biotope, opendata.swiss;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.fischerei-aeschen_kernzonen;AESCHENPOP;;False;False;False;True;False;True
7;30c248d4-46c6-4afc-a949-d26623c8b0e6;Äschenpopulationen von nationaler Bedeutung: Larvenhabitate;Umwelt, Lebensräume und Biotope, opendata.swiss;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;no;ch.bafu.fischerei-aeschen_larvenhabitate;AESCHENPOP;;False;False;False;True;False;True
8;f4b72bb8-aff0-4eab-b1e8-48e698c0e8fb;Beitragsberechtigte Städte und Agglomerationen;opendata.swiss, e-geo.ch, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Verwaltungseinheiten, Statistische Einheiten;no;ARE;Bundesamt für Raumentwicklung;yes;ch.are.agglomerationsverkehr;AGGLOMERATIONSVERKEHR;;True;False;True;True;True;True
9;f7485f4f-2224-4b76-a43c-52cbf8883a42;Blatteinteilung geologische Vektordatensätze GeoCover;Geowissenschaften, Gestein, Sedimentation (geologisch), Geologischer Prozess, Geomorphologie, Tektonik, Geologie, Geologische Karte, opendata.swiss;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.geologie-geocover.metadata;AGGR_GEOCOVER;;False;False;True;False;True;True
10;2467ab13-e794-4c13-8c55-59fe276398c5;Geologische Vektordatensätze GeoCover;Aufbewahrungs- und Archivierungsplanung AAP - Bund, Geologische Karte, Geobasisdaten, opendata.swiss, Geowissenschaften, Tektonik, Sedimentation (geologisch), Geomorphologie, Gestein, Geologischer Prozess, Geologie;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.geologie-geocover;AGGR_GEOCOVER;;True;False;True;False;True;True
11;d3b21424-70a4-4984-a693-aa7f11813c53;Topographischer Atlas der Schweiz (Siegfriedkarte);Weg, Landesgrenze, Höhenkote, Topografische Karte, Landeskarte, Einzelsignatur, Fluss, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Historische Karte, e-geo.ch, GIS (Geografisches Informationssystem), Gewässername, Geländedarstellung, Geobasisdaten, Bergname, Höhenkurve, Geografische Bezeichnungen, Bodenbedeckung, Straße, Fels, Gewässer, Kartographie, Bach, Gebiet, Nomenklatur;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.hiks-siegfried;AGGR_HIKS_SIEGFRIED;;True;False;True;False;True;True
12;eaa79f58-0dc7-4cfc-8308-f7adc33d933a;Leichte Basiskarte Geländedarstellung (Raster);Relief, Geographisches Informationssystem, 3D Visualisierung, GIS (Geografisches Informationssystem), Rasterdaten, Geografische Bezeichnungen;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.leichte-basiskarte_reliefschattierung;AGGR_LEICHTE_BASISKARTE;;True;False;True;False;True;True
13;db5a52b4-0f5f-4998-a9a8-dd9539f93809;SWISSIMAGE: Das digitale Orthophotomosaik der Schweiz;Geobasisdaten, Orthofoto, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Digitales Farborthofotomosaik, Luftbild, Orthofotografie;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.swissimage;AGGR_LUFTBILDER;;True;False;False;False;True;True
14;f9c31be1-887c-4203-8b11-57b40ecc039b;Landeskarten der Schweiz (farbig);Geographie, Gewässer, Relief, Kartographie, Grenze, Vegetation, Verkehrsnetz, Topografische Karte, Geländedarstellung, Landeskarte, Bodenbedeckung, Höhe, Verkehrsnetze, Gebäude, Orthofotografie, Gewässernetz;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.pixelkarte-farbe;AGGR_PK_FARBE;;True;False;True;False;True;True
15;74aef814-0c97-4261-a2c1-df4a948aca8e;Landeskarten der Schweiz (grau);Geographie, Grenze, Vegetation, Gewässer, Kartographie, Relief, Topografische Karte, Verkehrsnetz, Landeskarte, Geländedarstellung, Orthofotografie, Verkehrsnetze, Bodenbedeckung, Höhe, Gewässernetz, Gebäude;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.pixelkarte-grau;AGGR_PK_GRAU;;True;False;True;False;True;True
16;27866f0f-12d7-4364-bcce-9a0c17558173;Landeskarten der Schweiz Winterdarstellung;opendata.swiss, Geländedarstellung, Skitour, Landeskarte, Topografische Karte, Verkehrsnetz, Geobasisdienst, Gewässer, Grenze, Relief, Kartographie, Vegetation, Geografische Bezeichnungen;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.pixelkarte-farbe-winter;AGGR_SMR_WINTER;;True;False;True;False;True;True
17;22287cd6-b75b-4caf-9413-aa3f196548b2;Zeitreise - Topografische Kartenwerke;Topografische Karte, Landeskarte, Historische Karte, INSPIRE, Geografische Bezeichnungen;no;swisstopo;Bundesamt für Landestopografie;yes;ch.swisstopo.zeitreihen;AGGR_ZEITREIHEN;;True;False;False;False;True;True
18;8698bf0b-fceb-4f0f-989b-111e7c4af0a4;Alpenkonvention;Aufbewahrungs- und Archivierungsplanung AAP - Bund, Geobasisdaten, e-geo.ch, opendata.swiss, Nachhaltige Entwicklung, Raumplanung, Bergschutz, Bodenschutz, Umweltpolitik, Umweltpolitik, Verkehr, Transport, Verkehr, Umweltüberwachung, Verwaltungseinheiten;no;ARE;Bundesamt für Raumentwicklung;yes;ch.are.alpenkonvention;ALPENKONVENTION;;True;False;True;True;True;True
19;88ec92d4-409f-40ee-9c46-83aa4fb992aa;Alpweiden geschützt durch Herdenschutzhunde;;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.alpweiden-herdenschutzhunde;ALPWEIDEN_HERDENSCHUTZHUNDE;;True;False;True;True;True;True
20;843b3f48-ec98-4143-b9e6-1db1ad6ddac0;Alpprodukte;Alpwirtschaft, opendata.swiss, Bergwirtschaft, Versorgungswirtschaft und staatliche Dienste, Bewirtschaftungsgebiete/Schutzgebiete/geregelte Gebiete und Berichterstattungseinheiten;no;BLW;Bundesamt für Landwirtschaft;yes;ch.blw.alpprodukte;ALP_BERG_PRODUKTE;;True;False;True;True;True;True
21;c5bc9d6b-cafb-4617-97d7-868ab4cd5506;Bergprodukte;Bergwirtschaft, opendata.swiss, Alpwirtschaft, Bewirtschaftungsgebiete/Schutzgebiete/geregelte Gebiete und Berichterstattungseinheiten, Versorgungswirtschaft und staatliche Dienste;no;BLW;Bundesamt für Landwirtschaft;yes;ch.blw.bergprodukte;ALP_BERG_PRODUKTE;;True;False;True;True;True;True
22;1b48774e-1047-4e8f-b743-769a2b3901cb;Bundesinventar der Amphibienlaichgebiete von nationaler Bedeutung - Ortsfeste Objekte;Geobasisdaten, opendata.swiss, Aufbewahrungs- und Archivierungsplanung AAP - Bund, Umwelt, Schutzgebiete, Lebensräume und Biotope;no;BAFU;Bundesamt für Umwelt / Abteilung Biodiversität und Landschaft;yes;ch.bafu.bundesinventare-amphibien;AMPHIBIENLAICHGEBIETE;;True;False;True;True;True;True
