TECHPUBLAYERNAME,GEOCATUUID,STATUS (ZS),INGESTSTATE,TIMESTANDDATE,
nato.kosovo-tlm-50,002539d1-2f61-41a8-9bd2-d50bb8e099c2,InProgress,Productive,2021-03-26 00:00:00,A
ch.bakom.notruf-147_zentral,00347ff2-fc9d-4171-bc6d-5fe49658e80b,Published,Productive,2021-06-01 00:00:00,A
dk.dalo.landeskarte-50,00917877-58ff-4eb9-b9c4-f7f488ddca85,InProgress,Productive,2018-08-30 00:00:00,A
ch.bafu.neophyten-henrys_geissblatt,011f2b38-a7e3-49c9-a40f-99d5f0548928,Published,Productive,2015-10-07 00:00:00,A
ch.meteoschweiz.messwerte-pollen-erle-1h,012c160a-1404-42dd-8379-001a0bb2375b,Published,Productive,2018-03-09 00:00:00,A
ch.bafu.karst-einzugsgebiete,01811bd5-7f55-4c89-92f2-78fcd379affa,Published,Productive,2016-03-01 00:00:00,A
ch.bafu.neophyten-portulak_heusenkraut,01a84c21-44b3-4bd4-be2b-e6def443a08f,Published,Productive,2015-10-07 00:00:00,A
ch.bazl.baulinien-flughafenanlagen.oereb,01abfa32-9cc8-40d4-b733-18ec699f58aa,Published,Decommissioned,2021-12-15 00:00:00,C
ch.blw.erosion,02210bb3-1c51-4c2c-a665-a696286b945c,InProgress,Productive,2022-05-03 00:00:00,A
ch.swisstopo.geologie-generalkarte-ggk200_papier.metadata,0223ef8b-bc7b-457a-8dbc-5b9694cd9dbe,Published,Decommissioned,2016-01-01 00:00:00,C
ch.bafu.grundwasserschutzzonen,02426e00-08f3-433b-b80b-e40bc0dc8465,Published,Decommissioned,2013-10-01 00:00:00,C
ch.bafu.planerischer-gewaesserschutz_grundwasserschutzareale,031ed76f-c20a-4d61-9426-4d099e899e8e,InClarification,Decommissioned,2018-11-06 00:00:00,C
ch.blw.niederschlagshaushalt,0335f9f0-b0b1-4925-9c9d-d530ed2dd1cf,Published,Productive,2008-10-24 00:00:00,A
ch.bafu.strukturguete-hochrhein_rechtesumfeld,0343f09b-8638-4694-91d6-c2b2ba1b124d,Published,Productive,2002-01-01 00:00:00,A
ch.swisstopo.vec25-gewaessernetz,0351bc2e-3cdc-4e8a-b422-0142e494e7b4,Published,Decommissioned,2008-01-10 00:00:00,C
ch.bafu.gewaesserschutz-biologischer_zustand_diatomeen,04193332-3a11-4fa6-bdc0-1bee0deb4bc1,Published,Productive,2015-12-31 00:00:00,A
ch.meteoschweiz.messwerte-sonnenscheindauer-10min,04611009-c323-4ece-a9fc-f6ce8fc62c60,Published,Productive,2018-03-09 00:00:00,A
ch.vbs.phoenix-europa-5000,0486494c-d79d-44ad-9243-517b4ff3ec3f,Published,NotProductive,2018-05-07 00:00:00,B
ch.bafu.strukturguete-hochrhein_rechtesufer,0486c8a6-620b-4983-9e2e-7f91fd42c0d6,Published,Productive,2002-01-01 00:00:00,A
us.nga.tactical-pilotage-charts-500,048e8eb1-d550-46e1-9664-51419f0e0f5a,Published,Productive,2016-06-06 00:00:00,A
ch.blw.klimaeignung-getreidebau,04aa6587-d884-4c20-87a3-ff537e6d2626,Published,Productive,2008-10-24 00:00:00,A
ch.bakom.uplink1,04ade34e-9654-4dfa-8788-ac6a3da206d6,Published,Productive,2020-10-31 00:00:00,A
ch.bafu.wald-relative_luftfeuchte_juli_1981_2010,04b0f300-89ed-49f4-8556-e1751feeb6f0,Published,Productive,2021-01-01 00:00:00,A
de.zgeobw.landeskarte-50,04f6c231-cba6-40b3-a655-4a3f4fda9c8e,Published,Productive,2017-03-08 00:00:00,A
ch.blw.emapis-projektschwerpunkt,05189c0c-5b58-4b6c-b597-9221a86104f3,Published,Decommissioned,2019-06-06 00:00:00,C
ch.blw.bodeneignung-naehrstoffspeichervermoegen,05216096-7514-4084-a361-49a2cee1f44c,Published,Productive,2008-10-24 00:00:00,A
ch.bafu.niederschlagserosivitaet-feb,053bcacc-0ae4-4e03-9a79-9e0ecb56cd77,Published,Productive,2019-10-02 00:00:00,A
ch.are.bauzonen,055192b1-c378-4e66-8d43-c926f0be7980,Published,Productive,2022-01-01 00:00:00,A
ch.bafu.erosion-gruenland_bodenabtrag_jul,05ab7dfa-9155-4575-a0a3-fdffd52f05d3,Published,Productive,2019-04-01 00:00:00,A
ch.bafu.feststoffe-geschiebemessnetz,05ba053f-60ca-492b-a1f5-bd70f6de8761,Published,Productive,2009-01-01 00:00:00,A
ch.swisstopo.fixpunkte-hfp2,06044c35-4164-41c6-a4df-297749c03227,Published,Productive,2020-01-16 00:00:00,A
ch.swisstopo.geologie-geotechnik-ziegeleien_1907,060d2502-5eb7-4a0a-9364-e36b0fd12a2e,Published,Productive,2006-03-04 00:00:00,A
ch.blw.ursprungsbezeichnungen-konditoreiwaren,0652c964-e9d5-4c4a-8efe-5043f48b457f,Published,Productive,2021-12-16 00:00:00,A
ch.bafu.strukturguete-hochrhein_sohle,06c4d44c-2e9a-4ee2-8926-6457bb78dce2,Published,Productive,2002-01-01 00:00:00,A
ch.bakom.mobilnetz-2g,06e8324a-03f6-4e2d-b5f9-202fdcffc929,Published,Productive,2020-10-31 00:00:00,A
ch.bafu.wald-relative_luftfeuchte_jahr_1981_2010,06fab58d-d755-4dae-98c4-1ca7bf378077,Published,Productive,2021-01-01 00:00:00,A
ch.vbs.gueterumschlagplattform,0748d493-84a3-41a3-b585-b79668636393,InProgress,NotProductive,2018-10-25 00:00:00,B
ch.swisstopo.pixelkarte-farbe-pk1000-stumm,077eafc5-bb63-4a38-b9b5-d6aa386039e3,InProgress,Productive,2023-01-05 00:00:00,A
ch.bafu.moose,07b046a7-1b21-4cd0-b605-a113f2e5e94d,Published,Productive,2017-07-27 00:00:00,A
ch.bafu.neophyten-grossbluetiges_heusenkraut,07c2d5f7-f908-4067-9db3-a43aa95f28e1,Published,Productive,2015-10-07 00:00:00,A
ch.swisstopo.geologie-geomol-temperaturverteilung_500,08e66941-4ebb-4017-8018-b39caa8fd107,Published,Productive,2020-03-03 00:00:00,A
ch.bafu.wald-lufttemperatur_juli_2085_stark,08f1639a-4616-4670-b9ee-4e685f5b2d1b,Published,Productive,2021-01-01 00:00:00,A
ch.bafu.flora-weltensutter_atlas,09e50e6f-67ec-4892-b993-94686b0d9739,Published,Productive,2008-06-12 00:00:00,A
ch.swisstopo.swissbuildings3d_2,0a6773ee-7ab8-422b-b3b9-18cc292b359e,InProgress,Productive,2021-05-20 00:00:00,A
ch.swisstopo.geologie-rohstoffe-naturwerksteine_abbau,0b22a108-693c-4b6e-9e43-7614eb0e0bc3,Published,Productive,2018-01-01 00:00:00,A
ch.meteoschweiz.messwerte-wind-boeenspitze-kmh-10min,0b2cff5d-65c3-4e7a-8e1f-355c2b608948,Published,Productive,2018-03-09 00:00:00,A
ch.bakom.downlink1000,0b4dec69-5c20-4288-b487-a8f2bc33db70,Published,Productive,2020-10-31 00:00:00,A
ch.vbs.gueterumschlagsplattform,0b800f77-cb54-43bd-87d8-39652e22ad91,InProgress,Productive,2022-03-18 00:00:00,A
ch.bafu.planerischer-gewaesserschutz_grundwasserschutzzonen,0b81df84-93dd-496f-b6b8-ea93521a7829,InClarification,Decommissioned,2018-11-06 00:00:00,C
ch.bakom.downlink100,0be906d8-ce6d-436c-8690-749a892ef5bb,Published,Productive,2020-10-31 00:00:00,A
ch.vbs.polizeiposten,0c8a8908-cf69-4973-a7fd-f7bbe2884fba,InProgress,Productive,2022-01-26 00:00:00,A
ch.bfe.komo-projekte,0d216c1b-2998-4eb9-a47b-ac88aafb7271,Published,Productive,2019-09-03 00:00:00,A
ch.swisstopo.geologie-geologischer_atlas_papier.metadata,0d2e9e88-6151-4a3f-a1c8-85894c718f73,Published,Decommissioned,2017-01-01 00:00:00,C
ch.swisstopo.geologie-spezialkarten_schweiz_papier.metadata,0d93edd4-5ab4-47e1-b119-6df7289eb429,Published,Decommissioned,2016-01-01 00:00:00,C
ch.bfs.arealstatistik-1985,0dff304b-d90c-4f9c-bd9d-f3c315a128c2,Published,Decommissioned,2018-12-31 00:00:00,C
ch.bafu.gewaesserschutz-biologischer_zustand_makrophyten,0ecdff3c-29b0-4556-a641-2e95d54cd406,Published,Productive,2015-12-31 00:00:00,A
ch.bav.kataster-belasteter-standorte-oev_v2_0.oereb,0f06e21c-7bb2-43aa-876c-92414536a503,Published,Productive,2021-12-15 00:00:00,A
ch.bfe.erneuerbarheizen,0f756190-b7f7-4a4b-94db-696ed67676a4,Published,Productive,2021-02-24 00:00:00,A
ch.swisstopo.swiss-map-raster10.metadata,1013f96e-1d7a-4085-a2a7-b8dae90f9a11,Published,Decommissioned,2022-05-01 00:00:00,C
ch.bafu.wasser-teileinzugsgebiete_40,102e547e-6210-46ea-9246-123f966ba9be,Published,Productive,2019-12-01 00:00:00,A
ch.swisstopo.vec25-gebaeude,112c4f0e-0755-44bb-bdb0-249e9c56f8bb,Published,Productive,2008-01-10 00:00:00,A
ch.bfs.arealstatistik-waldmischungsgrad,116447b0-31b0-477c-9203-9f51d43e4ac5,Published,Productive,2018-12-31 00:00:00,A
ch.swisstopo.geologie-geologische_3dmodelle,11836d3b-181e-4078-b83f-f55fc44b5776,Published,Productive,2020-05-13 00:00:00,A
ch.swisstopo.lubis-luftbilder_schwarzweiss,12970991-2623-4e1e-a420-7435a6b5046c,Published,Productive,2022-07-15 00:00:00,A
ch.bafu.wald-foehnhaeufigkeit_jahr,12e6b1d6-b517-4919-b04c-5196947ac760,Published,Productive,2021-01-01 00:00:00,A
ch.swisstopo.fixpunkte-lfp2,12ee04c7-b38d-4809-b417-ce304df6c7cc,Published,Productive,2020-01-16 00:00:00,A
ch.meteoschweiz.messwerte-pollen-buche-1h,13237b0e-5078-4fb1-9c41-f694ef5704fb,Published,Productive,2018-03-09 00:00:00,A
ch.swisstopo.geologie-geophysik-totalintensitaet,132d9ff6-92de-4c02-87a7-72df26bcb33e,Published,Productive,1980-01-01 00:00:00,A
ch.blw.emapis-milchleitung,132f74f7-e9f8-4852-89f7-25b0ca425f41,Published,Decommissioned,2019-06-06 00:00:00,C
ch.swisstopo.geologie-felsoberflaeche_hoehenmodell,133b54a9-60d1-481c-85e8-e1a222d6ac3f,Published,Productive,2021-09-20 00:00:00,A
ch.astra.sachplan-infrastruktur-strasse_kraft,13780ac3-7340-454b-b721-fc4dd490d0fc,Published,Productive,2018-06-27 00:00:00,A
ch.bafu.holznutzung,139f02af-6545-4061-87e8-a093a70bda91,Published,Decommissioned,2010-03-10 00:00:00,C
ch.bazl.bebaute-gebiete_luftfahrtrecht,13a1d280-d6ee-4c57-8ee4-ffcebedcfc2e,Published,Productive,2021-03-29 00:00:00,A
ch.bafu.mittlere-abfluesse_zukunft,144e7781-cfff-404c-ae9c-474525ed9a1f,InProgress,NotProductive,2020-09-30 00:00:00,B
ch.blw.erosion-quantitativ,14c92382-adf0-45d9-ad07-d41bd976c2a3,InProgress,Productive,2022-05-03 00:00:00,A
ch.bafu.nabelstationen,14de1375-09ae-42b4-9592-5f0af091d050,Published,Productive,2011-03-09 00:00:00,A
ch.swisstopo.amtliches-gebaeudeadressverzeichnis,150c38c5-2650-4018-b5c7-939e2cdd56ce,Published,Productive,2020-01-28 00:00:00,A
ch.meteoschweiz.klimanormwerte-temperatur_1961_1990,1549b018-f8f0-4a56-bd17-c8a4377afe58,Published,Productive,2021-11-25 00:00:00,A
ch.bafu.chemische-gefahrenpotentiale,15bebc70-6b82-4d9a-8f4c-4bee097381c3,InProgress,Productive,2019-08-23 00:00:00,A
ch.swisstopo.geologie-geomol-temperaturverteilung_1500,162989d7-5c1c-48fb-8d16-2ccf5be339b9,Published,Productive,2020-03-03 00:00:00,A
ch.astra.schwerverunfallte-kanton_jahresvergleich,164f5ce7-4870-431b-9807-242dff20b844,Published,Productive,2022-02-27 00:00:00,A
ch.bafu.gewaesserschutz-biologischer_zustand_fische,16a81f2f-c2ce-4f6b-adf5-60c9a246819e,Published,Productive,2015-12-31 00:00:00,A
ch.astra.veloland,16d16fa3-a416-4e8b-99fc-69c7267f134d,Published,Productive,2022-03-17 00:00:00,A
ch.bazl.laermbelastungskataster-zivilflugplaetze_helikopter-maximalpegel,16e974d6-94ef-4006-97ff-f17428ea6687,Published,Productive,2022-06-30 00:00:00,A
ch.bag.radioaktivitaet-atmosphaere,170800fb-e85c-42b7-8c4b-ba33b364b79f,InProgress,NotProductive,2021-06-30 00:00:00,B
ch.are.windenergie-bundesinteressen,171a7520-27b2-4a60-9251-acf9b450d6b6,Published,Productive,2020-09-25 00:00:00,A
ch.bafu.sturm-boeenspitzen_50,17531a73-040c-4bd8-8d77-3f24c733b37a,Published,Productive,2014-11-07 00:00:00,A
ch.bafu.karst-quellen_schwinden,1786c0cc-8aac-44b1-880c-aa627de09c1e,Published,Productive,2016-03-01 00:00:00,A
ch.swisstopo.landeskarte25_papier.metadata,17a659d0-45c8-4a12-a7b3-a726e14776a2,Published,Decommissioned,2020-10-01 00:00:00,C
ch.blw.klimaeignung-zwischenfruchtbau,17b0f989-a79e-4837-b5a2-cf38c23a662c,Published,Productive,2008-10-24 00:00:00,A
ch.bafu.wald-vegetationshoehenstufen_1975,195c406f-8f07-45af-b705-9bddb97d4f01,Published,Productive,2021-09-22 00:00:00,A
ch.swisstopo.swissalti3d-reliefschattierung,1964cc81-5298-460f-9228-41120315bea8,Published,Productive,2022-10-21 00:00:00,A
ch.blw.ursprungsbezeichnungen-pflanzen,199c9078-9da7-4a77-b811-b342adc2a116,Published,Productive,2021-12-16 00:00:00,A
ch.sem.sachplan-asyl_anhoerung,1a1818bd-ab9f-49c8-a0e8-a93d1a2359e9,Published,Productive,2020-07-09 00:00:00,A
ch.bakom.notruf-143_festnetz,1a30baed-509c-4fe2-b7a7-1bcd885e7827,Published,Productive,2021-06-01 00:00:00,A
ch.are.bevoelkerungsdichte,1a474ee8-01c9-47bd-8036-43af2c82fc91,Published,Decommissioned,2012-12-31 00:00:00,C
ch.bafu.wasser-gebietsauslaesse,1a4d7eee-5135-4895-a255-e1dfd1fd6ff9,Published,Productive,2019-12-01 00:00:00,A
ch.bfs.betriebszaehlungen-beschaeftigte_vollzeitaequivalente,1a764cdd-9d11-4cfe-b440-66d7caef7fa4,Published,Productive,2020-12-31 00:00:00,A
ch.swisstopo-vd.geometa-standav,1a848168-d629-4422-8097-c94a63164845,Published,Productive,2016-11-30 00:00:00,A
ch.bav.laermbelastung-eisenbahn_zulaessige_immissionen_tag,1abcda60-f48d-4340-bc53-4611d49d716c,Published,Productive,2019-02-17 00:00:00,A
ch.bafu.bundesinventare-amphibien,1b48774e-1047-4e8f-b743-769a2b3901cb,Published,Productive,2017-11-01 00:00:00,A
ch.bafu.neophyten-kirschlorbeer,1b6ad787-5f95-42b4-8340-e62179de313e,Published,Productive,2015-10-07 00:00:00,A
ch.meteoschweiz.messwerte-pollen-hasel-1h,1b800419-21ff-4504-b54c-edab706d201c,Published,Productive,2018-03-09 00:00:00,A
ch.swisstopo.digitales-hoehenmodell_25_reliefschattierung,1b97015c-ae26-461e-b3f4-e53f65b6735f,Published,Productive,2001-07-01 00:00:00,A
ch.bafu.neophyten-essigbaum,1baf4c76-c7a8-4d33-bd53-563c2ffbe432,Published,Productive,2015-10-07 00:00:00,A
ch.swisstopo.geologie-geomorphologie,1bf16162-a44c-4970-9da1-044383bacff8,Published,Productive,2008-10-21 00:00:00,A
ch.swisstopo.geologie-geothermische_potenzialstudien_regional,1c050393-fe3a-41b1-a31e-3173f51181d8,InProgress,Productive,2022-11-29 00:00:00,A
ch.meteoschweiz.homogenereihen,1c437d02-5cb2-42df-8330-2e565e96d36e,InProgress,Productive,2000-01-03 00:00:00,A
ch.bfs.arealstatistik-bodenbedeckung-1985,1c6bc7a0-b243-49f0-9078-6576b37716b7,Published,Decommissioned,2018-12-31 00:00:00,C
ch.swisstopo.geologie-geotechnik-steinbrueche_1995,1c7751e9-9909-45c2-ab3a-daff34a56ef1,Published,Productive,2006-03-04 00:00:00,A
ch.bafu.niederschlagserosivitaet-jun,1c8c4639-c783-4f76-954d-d0f82e07ed28,Published,Productive,2019-10-02 00:00:00,A
ch.swisstopo.fixpunkte-hfp1,1ca6ef94-7204-424c-b2a6-d73158305df6,Published,Productive,2020-01-16 00:00:00,A
ch.swisstopo.segelflugkarte.metadata,1cd5796b-50b5-4e9a-a230-5d167182f292,Published,Decommissioned,2022-03-24 00:00:00,C
fi.fdgc.luftfahrtkarte-250,1cdd544b-3dad-41de-9280-74671cfda3ed,Published,Productive,2018-05-18 00:00:00,A
ch.bakom.mobil-antennenstandorte-gsm,1d7e059a-3d60-4876-905c-722cb469ac1d,Published,Productive,2018-05-01 00:00:00,A
ch.swisstopo.tunnel,1e43c054-a5aa-499d-a386-ea02d826d562,Published,Productive,2021-03-19 00:00:00,A
ch.bafu.oekomorphologie-f_abstuerze,1ec44d95-573a-489c-9a57-7bc278cc6792,Published,Productive,2008-09-13 00:00:00,A
ch.swisstopo.swissimage-product.metadata,1fc43fd9-f43f-4779-aa59-51e8f4833372,Published,Productive,2021-01-01 00:00:00,A
ch.bafu.bundesinventare-jagdbanngebiete,200a2d0e-afe1-45d8-aeaf-ea3621cc6afe,Published,Productive,2013-12-20 00:00:00,A
ch.bafu.neophyten-grosser_wassernabel,208f375a-9bd6-4f1a-9228-8c200f0e4bbb,Published,Productive,2015-10-07 00:00:00,A
ch.swisstopo.landeskarte-farbe_winter_10,20cb9f08-6d78-4f6d-a255-a3d0a8ad4e9b,Published,NotProductive,2021-11-01 00:00:00,B
ch.blw.ursprungsbezeichnungen-kaese,2109a970-681d-4efb-9fd5-6f7da5ae0e14,Published,Productive,2021-12-16 00:00:00,A
ch.vbs.operative-planungskarte,21121bd4-f81f-417e-a2e1-48ce8a371dc8,Published,Productive,2016-01-29 00:00:00,A
ch.meteoschweiz.messwerte-niederschlag-24h,212d2b23-6f58-437b-8748-cfc88794085c,Published,Productive,2018-03-09 00:00:00,A
ch.swisstopo.luftfahrtkarten-icao.metadata,213218e8-236c-447f-999f-75f96eb7703f,Published,Decommissioned,2022-03-24 00:00:00,C
ch.vbs.waffenplaetze,213f5e6b-08ad-404a-ac88-5fafdee72a9f,InProgress,Productive,2022-05-12 00:00:00,A
ch.bfe.windenergie-geschwindigkeit_h100,216fd29a-b016-457f-aecf-3a8b1cc70803,Published,Productive,2018-10-01 00:00:00,A
ch.swisstopo.swissbuildings3d_2.metadata,21c98c73-48da-408b-ab73-8f1ab9d5fbe4,Published,Decommissioned,2016-03-15 00:00:00,C
ch.swisstopo.zeitreihen,22287cd6-b75b-4caf-9413-aa3f196548b2,Published,Productive,2021-12-31 00:00:00,A
org.openstreetmap.de-ch-100km-buffer,231da290-fc51-4d82-b968-0858126e9dc0,InProgress,Productive,2022-04-21 00:00:00,A
ch.bfe.energiestaedte-energieregionen,236629f6-fcc3-48e0-9339-b1b7fb3a43b8,Published,Decommissioned,2020-03-20 00:00:00,C
ch.bafu.silvaprotect-sturz,238d97d6-8853-4e26-af30-dc5cbadd58dc,Published,Productive,2006-07-01 00:00:00,A
ch.bafu.gefahren-gefaehrdungszonen,239a4b60-9478-4120-87d9-5671c4516269,Published,Productive,2020-03-20 00:00:00,A
ch.sem.sachplan-asyl_kraft,23a9027d-37a1-4ba4-b529-54c658540914,Published,Productive,2020-07-09 00:00:00,A
ch.swisstopo.geologie-gisgeol-flaechen-1x1km,23cc63df-e6f1-40cb-9fea-debbb65955a9,Published,Decommissioned,2015-01-01 00:00:00,C
ch.vbs.militaermedizinische-regionen,23ce3f4c-eec2-4701-a33e-9ed868263aab,InProgress,Productive,2022-03-31 00:00:00,A
ch.vbs.operative-planungskarte-phoenix-500_sued,245be565-cde5-4f05-a9bd-e1c4f658b826,Published,NotProductive,2018-05-07 00:00:00,B
ch.swisstopo.geologie-geocover,2467ab13-e794-4c13-8c55-59fe276398c5,Published,Productive,2019-12-18 00:00:00,A
ch.bazl.luftraeume-nahkontrollbezirke,24f734e7-f642-403b-823a-74e580a800ad,Published,Productive,2022-03-24 00:00:00,A
ch.bafu.bundesinventare-auen_vegetation_alpin,24ff96e5-0cda-485b-9ec0-365960a11190,Published,Productive,2017-11-01 00:00:00,A
ch.bafu.erosion-gruenland_bodenabtrag_okt,256be392-6fa9-4595-b0a3-9390c039bb80,Published,Productive,2019-04-01 00:00:00,A
ch.swisstopo.geologie-geologischer_atlas,258814a5-8fcf-47df-b0c6-160602b0078c,Published,Productive,2017-01-01 00:00:00,A
ch.bazl.projektierungszonen-flughafenanlagen_v2_0.oereb,25ad45c3-f751-4d05-b6f6-ece1c2059e8b,Published,Productive,2020-10-16 00:00:00,A
ch.bafu.wald-niederschlag_sommer_2085_maessig,25c1689c-fbe7-4ecd-9e1a-5d85a38dc914,Published,Productive,2021-01-01 00:00:00,A
at.img.luftfahrtkarte-icao-500,25c19b8e-c30a-45d8-83f2-ca92d5036cae,Published,Productive,2017-04-25 00:00:00,A
ch.bazl.schutzgebiete-aulav_liechtenstein,25c6e9dd-b658-41fa-8f8d-3fc2775e3a6f,Published,Productive,2017-07-18 00:00:00,A
ch.bfe.fernwaerme-nachfrage_industrie,25de2a79-1714-4db8-a7ad-48efc8a4f5c7,Published,Productive,2013-12-31 00:00:00,A
ch.bfs.arealstatistik-1997,260bbbe0-0c10-4a31-b566-cd0d6f143a09,Published,Decommissioned,2018-12-31 00:00:00,C
ch.bakom.notruf-112_mobilnetz,261dd9f1-3387-4bd9-b093-21cc7bf23970,Published,Productive,2021-06-01 00:00:00,A
ch.bakom.notruf-144_mobilnetz,261f29ed-3043-4668-998e-a76c63b8e3e2,Published,Productive,2021-06-01 00:00:00,A
ch.bafu.showme-gemeinden_hochwasser,26456ca7-828c-435a-8411-360433268599,Published,Decommissioned,2019-01-01 00:00:00,C
ch.bfe.energieberatungsstellen,26b94fae-3709-4436-901b-eb27546e9afe,Published,NotProductive,2019-05-21 00:00:00,B
ch.vbs.logistikraeume-armeelogistikcenter,270a2032-d346-42c5-a657-9129186f1f08,Published,Productive,2014-12-17 00:00:00,A
ch.vbs.uebersetzstellen,2710de32-50fc-4669-bb98-840969ef0e58,InProgress,Productive,2022-05-12 00:00:00,A
ch.meteoschweiz.messwerte-luftfeuchtigkeit-10min,27555e51-199b-431c-bffe-8e7b58faff4f,Published,Productive,2018-03-09 00:00:00,A
ch.swisstopo.pixelkarte-farbe-winter,27866f0f-12d7-4364-bcce-9a0c17558173,Published,Productive,2022-11-01 00:00:00,A
ch.are.landschaftstypen,27a33007-d187-41d9-97b7-6dc733a06e9b,Published,Productive,2010-08-31 00:00:00,A
ch.swisstopo.vec200-transportation-strassennetz,2816b787-2508-42c8-8dec-094d68f5f094,Published,Productive,2022-10-19 00:00:00,A
ch.swisstopo.swissimage-25,28de1dab-9f24-40c7-970a-a02d707afd04,Published,Decommissioned,2016-01-01 00:00:00,C
ch.bakom.notruf-112_satellit,29139f7c-2b57-43de-b308-38666acfa0b9,Published,Productive,2021-06-01 00:00:00,A
ch.vbs.kataster-belasteter-standorte-militaer_v2_0.oereb,29148c8a-fa5c-4a88-8dc5-12b4701a9e15,Published,Productive,2021-12-15 00:00:00,A
ch.swisstopo.geologie-gravimetrischer_atlas.messpunkte,297a1958-3636-45af-a17c-e90120605132,Published,Productive,2015-07-31 00:00:00,A
ch.swisstopo.pixelkarte-farbe-pk25.noscale,2987a492-a097-46f3-b162-abc1b3115f85,Published,Productive,2019-01-01 00:00:00,A
ch.swisstopo.swisstlmregio,2a190233-498a-46c4-91ca-509a97d797a2,Published,Productive,2022-10-19 00:00:00,A
ch.bafu.neophyten-aufrechtes_traubenkraut,2a65e6b4-2b76-4fb6-91c1-ad890cb0a906,Published,Productive,2015-10-07 00:00:00,A
ch.bafu.bundesinventare-amphibien_anhang4,2a701f93-3bd3-4068-a6a8-59d7383a3b30,Published,Productive,2017-11-01 00:00:00,A
ch.swisstopo.geoidmodell-ch1903,2b20aece-5cb1-41f1-a618-7c6e1ff6a81b,Published,Productive,2004-12-31 00:00:00,A
ch.vbs.ambulatorium,2b31e9c5-e985-40a8-a61b-dade433c04c3,InProgress,Productive,2018-10-25 00:00:00,A
