;concept-cat_id;de;fr;it;en;all_nr;all_pub_unpub;harvested_nr (valid=-1)
http://geocat.ch/concept#168;168;Landsat;Landsat;Landsat;Landsat;50;51;0
http://geocat.ch/concept#167;167;Landesvermessung;mensuration nationale;misurazione nazionale;national survey;13;13;0
http://geocat.ch/concept#166;166;Landeskoordinaten;coordonnées nationales;coordinate nazionali;national coordinates;11;11;0
http://custom.shared.obj.ch/concept#f9600e3a-1715-4247-b319-9327f01dc4e6;f9600e3a-1715-4247-b319-9327f01dc4e6;Naturereignis;événement naturel;evento naturale;natural event;14;14;3
http://geocat.ch/concept#39;39;Bodenbedeckung;couverture du sol;copertura del suolo;land cover;150;154;12
http://geocat.ch/concept#106;106;Geschiebe;charriage;carico di fondo;bedload;4;4;0
http://geocat.ch/concept#169;169;Landschaftsmodell;modèle du territoire;modello del territorio;landscape model;47;50;2
http://geocat.ch/concept#208;208;Ortsbildschutz;protection des sites construits;protezione degli insediamenti;heritage site protection;3;5;2
http://geocat.ch/concept#f89cdc55-5870-47e1-8ec1-327f2cf83e3e;f89cdc55-5870-47e1-8ec1-327f2cf83e3e;Begegnungsort;lieu de rencontre;luogo d'incontro;meeting place;1;1;0
http://geocat.ch/concept#265;265;Spezialzone;zone spécifique;zona speciale;special zone;11;13;2
http://geocat.ch/concept#b6291656-f6fd-4199-9678-ad9be0fefe9f;b6291656-f6fd-4199-9678-ad9be0fefe9f;Geodatenmodell;modèle de géodonnées;modello di geodati;geodata model;577;577;0
http://geocat.ch/concept#163;163;Landesgrenze;frontière nationale;confine nazionale;national border;28;29;0
http://custom.shared.obj.ch/concept#727d11e0-c596-4b28-b6b4-9f44c788c9f3;727d11e0-c596-4b28-b6b4-9f44c788c9f3;Belasteter Standort;site pollué;sito inquinato;polluted site;20;23;3
http://custom.shared.obj.ch/concept#9be04bad-d148-4ae0-a707-84f0306ecd66;9be04bad-d148-4ae0-a707-84f0306ecd66;Ruhe;tranquillité;tranquillità;tranquility;27;27;0
http://custom.shared.obj.ch/concept#4a1ebc5a-f3cd-49a9-bceb-50f9dff9b0ce;4a1ebc5a-f3cd-49a9-bceb-50f9dff9b0ce;Luftraum;espace aérien;spazio aereo;airspace;10;19;0
http://geocat.ch/concept#127;127;Grundstück;terrain;fondo;site;22;22;2
http://geocat.ch/concept#165;165;Landeskarte;carte nationale;carta nazionale;national map;71;84;4
http://custom.shared.obj.ch/concept#9541fcd2-b429-44d7-b049-c28c0edb0528;9541fcd2-b429-44d7-b049-c28c0edb0528;FINELTRA;FINELTRA;FINELTRA;FINELTRA;4;4;0
http://custom.shared.obj.ch/concept#eec9ecbc-d5c9-46bc-8717-248bce7111fa;eec9ecbc-d5c9-46bc-8717-248bce7111fa;Sturzprozess;processus d'écroulement;processo di franamento;rockfall process;2;2;0
http://geocat.ch/concept#36;36;Bezugsmarkierung;point repère;punto di riferimento;fiducial mark;3;3;0
http://custom.shared.obj.ch/concept#ed329b28-1236-44ea-af43-1da8e077ff0a;ed329b28-1236-44ea-af43-1da8e077ff0a;Eignung;aptitude;attitudine;aptitude;3;3;2
http://custom.shared.obj.ch/concept#b1037c88-0a8f-4dd5-bde4-c00cc1ef29e9;b1037c88-0a8f-4dd5-bde4-c00cc1ef29e9;Gebäude- und Wohnungsregister GWR;Registre des bâtiments et logements BL;registro degli edifici e delle abitazioni REA;federal register of buildings and dwellings RBD;2;2;0
http://geocat.ch/concept#262;262;Skitour;randonnée à ski;escursione con gli sci;ski tour;9;11;0
http://custom.shared.obj.ch/concept#948082ad-0adf-4d3c-8c4f-685f9d4d9372;948082ad-0adf-4d3c-8c4f-685f9d4d9372;e-geo.ch;e-geo.ch;e-geo.ch;e-geo.ch;129;137;1
http://geocat.ch/concept#0e9bfdb0-09b4-4692-ad49-aa1e1e478ae4;0e9bfdb0-09b4-4692-ad49-aa1e1e478ae4;Sperrgebiet;zone interdite;zona vietata;prohibited area;3;4;1
http://geocat.ch/concept#264;264;Sömmerung;estivage;estivazione;summering;16;16;0
http://geocat.ch/concept#194;194;Nationalstrasse;route nationale;strada nazionale;motorway;21;23;1
http://geocat.ch/concept#62;62;Ereigniskataster;cadastre des événements;catasto degli eventi;register of events;8;8;3
http://geocat.ch/concept#178;178;Leitungskataster;cadastre des conduites;catasto delle condotte;pipeline cadastre;695;739;19
http://geocat.ch/concept#290;290;Übersichtsplan;plan d'ensemble;piano corografico;survey plan;59;59;3
http://geocat.ch/concept#2bc5df5c-653b-4794-8611-2fdc37f82d25;2bc5df5c-653b-4794-8611-2fdc37f82d25;Gewässerraum;espace réservé aux eaux;spazio riservato alle acque;space provided for waters;11;12;2
http://custom.shared.obj.ch/concept#aad24e6c-4348-4c54-8458-abc757b7a2a1;aad24e6c-4348-4c54-8458-abc757b7a2a1;Gestaltungsplan;plan d'aménagement;piano d'edificabilità;development plan;32;57;4
http://geocat.ch/concept#289;289;Übersichtskarte;carte synoptique;carta corografica;outline map;14;15;1
http://geocat.ch/concept#266;266;Stadtplan;plan de ville;carta di città;city map;16;16;0
http://geocat.ch/concept#75;75;Flugzeug;avion;aeroplano;aeroplane;0;1;0
http://www.geocat.ch/concept#3a908f24-5f99-4e37-b47d-0afbd536f595;3a908f24-5f99-4e37-b47d-0afbd536f595;Versorgungsroute;route d’approvisionnement;via di approvvigionamento;supply route;3;3;0
http://custom.shared.obj.ch/concept#163e2873-5257-4c81-8a89-8e902884776e;163e2873-5257-4c81-8a89-8e902884776e;Wildtierkorridor;corridor faunistique;corridoio faunistico;wildlife corridor;15;16;1
http://geocat.ch/concept#268;268;Standortskarte;carte des stations;carta delle stazioni;site class map;4;4;2
http://geocat.ch/concept#270;270;Steinschlag;chute de pierres;caduta di sassi;rockfall;17;17;0
http://geocat.ch/concept#299;299;Verkehrsnetz;réseau de transport;rete di trasporto;traffic network;91;99;4
http://www.geocat.ch/concept#711a8d5e-159b-4370-be1e-d0d7b5a249eb;711a8d5e-159b-4370-be1e-d0d7b5a249eb;Schutz;protection;protezione;protection;19;19;0
http://custom.shared.obj.ch/concept#da072394-c4a1-49b0-808e-04606edd7a35;da072394-c4a1-49b0-808e-04606edd7a35;Schiene;rail;rotaia;rail;1;1;0
http://geocat.ch/concept#297;297;Fahrrad;vélo;bicicletta;bike;37;38;1
http://geocat.ch/concept#158;158;Koordinate;coordonnée;coordinate;coordinate;14;14;0
http://custom.shared.obj.ch/concept#04c0f143-6611-4c2e-af22-e9a7f375e7ea;04c0f143-6611-4c2e-af22-e9a7f375e7ea;Geodaten;géodonnées;geodati;geodata;351;364;5
http://geocat.ch/concept#dda62993-8aa7-44eb-8c9c-5be1d5440a9a;dda62993-8aa7-44eb-8c9c-5be1d5440a9a;Dateninfrastruktur;infrastructure de données;infrastruttura di dati;data infrastructure;1;1;0
http://custom.shared.obj.ch/concept#40b6d496-8c95-4dca-ae33-81f204ce5d3d;40b6d496-8c95-4dca-ae33-81f204ce5d3d;GEWISS;GEWISS;GEWISS;GEWISS;42;48;2
http://geocat.ch/concept#170;170;Landwirtschaftliche Nutzfläche LN;surface agricole utile SAU;superficie agricola utile SAU;usable agricultural area UAA;34;36;2
